|            chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) |
|         Abell 1300 |       3025729 | 172.87690 | -19.35638 | 0.3312 |    0.0179 |     photo_z |    5.4 |      1.3 |         34.76 |       9.73 |        4.77 |
|         Abell 1300 |       1275204 | 172.63109 | -19.43143 | 0.3199 |    0.0168 |     photo_z |    3.3 |      1.1 |         35.63 |       9.97 |        4.89 |
|         Abell 1300 |       1903191 | 173.03582 | -19.33146 | 0.2866 |    0.0154 |     photo_z |    7.1 |      1.4 |         35.95 |      10.06 |        4.93 |
|         Abell 1300 |       3186995 | 173.49611 | -20.28092 | 0.3135 |    0.0166 |     photo_z |    8.0 |      3.2 |         36.11 |      10.10 |        4.95 |
|         Abell 1437 |          3525 | 180.04390 |   3.36843 | 0.1324 |    0.0009 | spec_z_boot |    7.6 |      2.4 |          4.10 |       0.60 |        0.41 |
|         Abell 1437 |         30105 | 180.21562 |   3.31556 | 0.1351 |    0.0008 | spec_z_boot |   77.9 |      4.0 |          6.67 |       0.98 |        0.66 |
|         Abell 1437 |        112476 | 179.91556 |   3.09668 | 0.1338 |    0.0016 | spec_z_boot |    9.0 |      1.2 |         19.02 |       2.81 |        1.90 |
|         Abell 1437 |        556180 | 180.22027 |   3.04247 | 0.1368 |    0.0193 | spec_z_boot |    5.2 |      1.2 |         19.50 |       2.88 |        1.94 |
|         Abell 1437 |       2986951 | 180.31963 |   2.84288 | 0.1342 |    0.0004 |   cg_spec_z |    4.6 |      0.8 |         32.83 |       4.84 |        3.27 |
|         Abell 1437 |       2356335 | 180.64264 |   3.18226 | 0.1338 |    0.0004 |   cg_spec_z |    3.6 |      0.7 |         33.47 |       4.94 |        3.34 |
|         Abell 1437 |        519027 | 180.09420 |   3.91359 | 0.1385 |    0.0020 | spec_z_boot |    3.9 |      0.9 |         33.95 |       5.01 |        3.38 |
|         Abell 1437 |         88596 | 180.45587 |   3.95082 | 0.1358 |    0.0005 | spec_z_boot |   10.7 |      1.0 |         41.70 |       6.15 |        4.16 |
|         Abell 1437 |       3094868 | 180.77421 |   3.11466 | 0.1650 |    0.0008 | spec_z_boot |    7.3 |      1.7 |         42.23 |       6.23 |        4.21 |
|         Abell 1437 |        255319 | 179.95780 |   4.03727 | 0.1331 |    0.0166 | spec_z_boot |    3.8 |      0.9 |         42.34 |       6.25 |        4.22 |
|         Abell 1650 |           321 | 194.65371 |  -1.79300 | 0.0843 |    0.0003 | spec_z_boot |   84.7 |      7.3 |          2.41 |       0.24 |        0.11 |
|         Abell 1650 |         26380 | 194.88305 |  -1.76463 | 0.0851 |    0.0136 | spec_z_boot |    6.9 |      2.3 |         12.48 |       1.23 |        0.59 |
|         Abell 1650 |       3235733 | 194.84092 |  -2.01278 | 0.0842 |    0.0007 | spec_z_boot |    6.3 |      1.7 |         18.19 |       1.79 |        0.86 |
|         Abell 1650 |        184121 | 194.86880 |  -1.37178 | 0.0845 |    0.0007 | spec_z_boot |    4.3 |      1.1 |         25.98 |       2.56 |        1.22 |
|         Abell 1650 |       3222562 | 194.19005 |  -1.50216 | 0.0849 |    0.0055 | spec_z_boot |    3.3 |      0.9 |         32.92 |       3.24 |        1.55 |
|         Abell 1650 |         17448 | 195.14276 |  -2.13411 | 0.0847 |    0.0005 | spec_z_boot |   18.1 |      1.9 |         35.96 |       3.54 |        1.70 |
|         Abell 1650 |       2004955 | 194.00624 |  -1.77174 | 0.1195 |    0.0043 | spec_z_boot |   14.3 |      1.3 |         40.11 |       3.95 |        1.89 |
|         Abell 1650 |       1064522 | 193.81258 |  -1.56130 | 0.0843 |    0.0009 | spec_z_boot |    3.8 |      1.0 |         53.07 |       5.23 |        2.50 |
|         Abell 1650 |        206931 | 195.58272 |  -2.04115 | 0.0851 |    0.0005 | spec_z_boot |    4.5 |      0.9 |         57.01 |       5.62 |        2.69 |
|         Abell 1650 |        201263 | 193.69093 |  -2.05407 | 0.0812 |    0.0000 |   cg_spec_z |    5.3 |      2.9 |         61.61 |       6.07 |        2.90 |
|         Abell 1650 |       3077141 | 194.82397 |  -2.79132 | 0.0821 |    0.0004 | spec_z_boot |    3.1 |      0.9 |         62.58 |       6.17 |        2.95 |
|         Abell 1650 |        690024 | 193.63828 |  -2.28412 | 0.1181 |    0.0017 | spec_z_boot |    5.1 |      1.2 |         69.69 |       6.87 |        3.29 |
|         Abell 1650 |       1602009 | 195.51495 |  -0.83677 | 0.0845 |    0.0009 | spec_z_boot |    9.3 |      1.4 |         74.84 |       7.37 |        3.53 |
|         Abell 1650 |          3965 | 195.71910 |  -2.51639 | 0.0838 |    0.0004 | spec_z_boot |   64.2 |      3.7 |         77.36 |       7.62 |        3.65 |
|         Abell 1650 |          6420 | 193.62127 |  -2.60720 | 0.1188 |    0.0009 | spec_z_boot |   25.0 |      2.0 |         81.13 |       7.99 |        3.82 |
|         Abell 1650 |       1438504 | 194.69614 |  -3.11819 | 0.1147 |    0.0080 | spec_z_boot |    3.3 |      0.9 |         81.56 |       8.04 |        3.85 |
|         Abell 1650 |       2650652 | 193.77913 |  -2.82326 | 0.1179 |    0.0008 | spec_z_boot |    8.7 |      1.0 |         83.44 |       8.22 |        3.93 |
|         Abell 1650 |       2159970 | 193.39294 |  -2.30025 | 0.1088 |    0.0004 |   cg_spec_z |    4.7 |      1.1 |         83.45 |       8.22 |        3.93 |
|         Abell 1650 |        963998 | 195.67311 |  -2.83581 | 0.0839 |    0.0105 | spec_z_boot |    3.9 |      1.2 |         88.06 |       8.68 |        4.15 |
|         Abell 1650 |        516415 | 193.22155 |  -2.17624 | 0.0710 |    0.0004 |   cg_spec_z |    3.7 |      0.8 |         90.68 |       8.94 |        4.28 |
|         Abell 1650 |        722913 | 195.29298 |  -3.22657 | 0.0727 |    0.0004 |   cg_spec_z |    3.9 |      0.9 |         95.53 |       9.41 |        4.50 |
|         Abell 1650 |        133001 | 195.34526 |  -3.34360 | 0.0812 |    0.0032 | spec_z_boot |    5.0 |      2.1 |        103.22 |      10.17 |        4.87 |
|         Abell 1650 |        263779 | 196.29514 |  -2.36156 | 0.0830 |    0.0005 | spec_z_boot |    8.1 |      1.2 |        103.65 |      10.21 |        4.89 |
|         Abell 1650 |       2298073 | 195.59002 |  -3.23824 | 0.1044 |    0.0004 |   cg_spec_z |    3.3 |      0.9 |        104.33 |      10.28 |        4.92 |
|         Abell 1650 |       2047550 | 192.93652 |  -1.85873 | 0.0825 |    0.0003 | spec_z_boot |    8.0 |      1.2 |        104.43 |      10.29 |        4.92 |
|         Abell 1651 |        929886 | 194.77204 |  -4.28105 | 0.0844 |    0.0005 | spec_z_boot |   65.5 |      6.0 |          7.44 |       0.73 |        0.38 |
|         Abell 1651 |         96634 | 194.75562 |  -4.13633 | 0.0845 |    0.0007 | spec_z_boot |   16.0 |      3.8 |          7.72 |       0.76 |        0.39 |
|         Abell 1651 |          2527 | 195.08688 |  -4.15870 | 0.0832 |    0.0006 | spec_z_boot |    8.8 |      2.2 |         13.40 |       1.32 |        0.68 |
|         Abell 1651 |        214363 | 195.15656 |  -4.04346 | 0.1097 |    0.0001 |   cg_spec_z |    4.1 |      0.9 |         19.73 |       1.94 |        1.01 |
|         Abell 1651 |        427564 | 194.85100 |  -3.78110 | 0.0858 |    0.0010 | spec_z_boot |    7.7 |      3.4 |         25.21 |       2.48 |        1.29 |
|         Abell 1651 |       1726506 | 194.59243 |  -4.55896 | 0.0826 |    0.0001 |   cg_spec_z |    8.9 |      1.9 |         27.04 |       2.66 |        1.38 |
|         Abell 1651 |        737394 | 195.29484 |  -4.39489 | 0.0870 |    0.0073 | spec_z_boot |    3.2 |      1.0 |         28.11 |       2.77 |        1.43 |
|         Abell 1651 |       1311595 | 194.43798 |  -4.41108 | 0.0963 |    0.0467 | spec_z_boot |    4.8 |      1.9 |         28.60 |       2.82 |        1.46 |
|         Abell 1651 |       1190323 | 195.03365 |  -4.75052 | 0.0849 |    0.0005 | spec_z_boot |    4.1 |      1.1 |         34.44 |       3.39 |        1.76 |
|         Abell 1651 |       1806725 | 195.26967 |  -4.68201 | 0.1094 |    0.0003 | spec_z_boot |    9.3 |      1.4 |         37.59 |       3.70 |        1.92 |
|         Abell 1651 |        907583 | 194.97267 |  -4.97492 | 0.0846 |    0.0005 | spec_z_boot |    8.3 |      1.2 |         46.86 |       4.61 |        2.39 |
|         Abell 1651 |       2961198 | 194.42239 |  -4.89785 | 0.0653 |    0.0001 |   cg_spec_z |    3.4 |      1.1 |         49.55 |       4.88 |        2.53 |
|         Abell 1651 |         24036 | 195.28141 |  -3.44793 | 0.0844 |    0.0005 | spec_z_boot |   35.3 |      8.9 |         51.54 |       5.08 |        2.63 |
|         Abell 1651 |       1999953 | 193.88881 |  -4.25614 | 0.0902 |    0.0198 | spec_z_boot |    6.8 |      1.0 |         58.63 |       5.77 |        2.99 |
|         Abell 1651 |        133001 | 195.34526 |  -3.34360 | 0.0812 |    0.0032 | spec_z_boot |    5.0 |      2.1 |         58.87 |       5.80 |        3.00 |
|         Abell 1651 |       1474216 | 195.56202 |  -3.49643 | 0.0852 |    0.0008 | spec_z_boot |   12.7 |      7.0 |         59.31 |       5.84 |        3.03 |
|         Abell 1651 |        722913 | 195.29298 |  -3.22657 | 0.0727 |    0.0004 |   cg_spec_z |    3.9 |      0.9 |         63.78 |       6.28 |        3.25 |
|         Abell 1651 |       1438504 | 194.69614 |  -3.11819 | 0.1147 |    0.0080 | spec_z_boot |    3.3 |      0.9 |         65.77 |       6.48 |        3.36 |
|         Abell 1651 |       2298073 | 195.59002 |  -3.23824 | 0.1044 |    0.0004 |   cg_spec_z |    3.3 |      0.9 |         72.18 |       7.11 |        3.68 |
|         Abell 1651 |        717352 | 195.96465 |  -3.45445 | 0.0864 |    0.0011 | spec_z_boot |   10.7 |      1.9 |         79.52 |       7.83 |        4.06 |
|         Abell 1651 |       3077141 | 194.82397 |  -2.79132 | 0.0821 |    0.0004 | spec_z_boot |    3.1 |      0.9 |         84.62 |       8.33 |        4.32 |
|         Abell 1651 |        332230 | 195.83223 |  -3.10456 | 0.1139 |    0.0002 |   cg_spec_z |    7.0 |      1.3 |         87.56 |       8.62 |        4.47 |
|         Abell 1651 |        963998 | 195.67311 |  -2.83581 | 0.0839 |    0.0105 | spec_z_boot |    3.9 |      1.2 |         95.08 |       9.36 |        4.85 |
|         Abell 1651 |       1926167 | 196.24283 |  -3.32120 | 0.0761 |    0.0016 | spec_z_boot |    4.0 |      1.0 |         97.83 |       9.63 |        4.99 |
|         Abell 1689 |            53 | 197.87297 |  -1.34109 | 0.1834 |    0.0004 |   cg_spec_z |  183.9 |      5.5 |          0.39 |       0.07 |        0.04 |
|         Abell 1689 |       2486985 | 198.20368 |  -1.43910 | 0.2146 |    0.0076 |     photo_z |    4.1 |      0.9 |         20.68 |       3.94 |        1.90 |
|         Abell 1689 |        458401 | 197.55273 |  -1.02282 | 0.1774 |    0.0004 | spec_z_boot |    8.1 |      1.4 |         26.92 |       5.13 |        2.48 |
|         Abell 1689 |        964191 | 198.45775 |  -1.39094 | 0.1749 |    0.0066 |     photo_z |    6.0 |      1.9 |         35.12 |       6.69 |        3.23 |
|         Abell 1689 |       2597493 | 198.09584 |  -1.90662 | 0.2122 |    0.0058 |     photo_z |   11.1 |      1.1 |         36.77 |       7.01 |        3.39 |
|         Abell 1689 |        176063 | 197.39731 |  -0.90178 | 0.1775 |    0.0004 |   cg_spec_z |    3.7 |      0.9 |         38.69 |       7.37 |        3.56 |
