| CHANCES_FIELD | CHANCES_z | CHANCES_M200c | CHANCES_R200c_deg |     AXES | 2MRS | z_LEGACY | LAMBDA | LEGACY |      z |      RA_X |     DEC_X |        Lx |       eLx |     M200c |    eM200c | R200c_deg | CHANCES_DIST_deg | CHANCES_DIST_R200c | VPEC_kms |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233123 |    1 |   0.0485 |  42.05 |      1 | 0.0490 | 200.92268 | -31.76106 | 2.295e+43 | 4.706e+42 | 1.455e+14 | 1.845e+13 |    0.3054 |           5.6298 |               4.72 |     9737 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233312 |    1 |  -1.0000 |  -1.00 |      0 | 0.0146 | 210.91297 | -33.95983 | 8.305e+42 | 1.095e+42 | 7.799e+13 | 6.433e+12 |    0.8082 |           4.7608 |               3.99 |     -413 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93223325 |    1 |  -1.0000 |  -1.00 |      0 | 0.0481 | 202.27050 | -29.41559 | 1.893e+43 | 4.444e+42 | 1.287e+14 | 1.860e+13 |    0.2980 |           4.4364 |               3.72 |     9472 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233201 |    1 |  -1.0000 |  -1.00 |      0 | 0.0134 | 204.01947 | -34.22526 | 4.040e+43 | 1.544e+42 | 2.149e+14 | 5.220e+12 |    1.2351 |           4.7731 |               4.00 |     -767 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93223302 |    1 |  -1.0000 |  -1.00 |      0 | 0.0147 | 201.52222 | -30.04716 | 8.930e+41 | 3.796e+41 | 1.871e+13 | 4.763e+12 |    0.4996 |           4.9826 |               4.18 |     -384 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93223508 |    1 |   0.0216 |   4.87 |      1 | 0.0226 | 211.90878 | -27.02720 | 4.742e+43 | 2.668e+42 | 2.364e+14 | 8.427e+12 |    0.7586 |           5.2327 |               4.39 |     1947 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93223315 |    1 |   0.0349 |  13.93 |      1 | 0.0338 | 202.20222 | -28.02504 | 8.484e+42 | 2.034e+42 | 7.789e+13 | 1.148e+13 |    0.3543 |           4.9930 |               4.19 |     5252 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93223405 |    0 |   0.0487 |  24.93 |      1 | 0.0487 | 208.40079 | -27.89948 | 3.454e+43 | 5.503e+42 | 2.780e+14 | 2.770e+13 |    0.3851 |           2.6178 |               2.20 |     9649 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233209 |    1 |  -1.0000 |  -1.00 |      0 | 0.0446 | 202.67430 | -31.69830 | 8.126e+43 | 7.072e+42 | 3.280e+14 | 1.799e+13 |    0.4380 |           4.1768 |               3.50 |     8439 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233220 |    1 |   0.0392 |  69.51 |      1 | 0.0394 | 206.83605 | -32.86714 | 4.688e+44 | 1.293e+43 | 1.011e+15 | 1.776e+13 |    0.7190 |           2.5682 |               2.15 |     6905 |
