|               name |        Cluster Name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |            CHANCES |  Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G342.51-50.97 |               A3836 | 332.38257 | -51.82283 | 0.106 | 342.52 |  3.20 |    False |   False |                    |  A3836 |  94009 | ACT-CL J2209.3-5147 | PSZ2 G342.51-50.97 |           A3836 |          |                   |  4.62 | 4.07 | 1.58 | 13.03 |
| PSZ2 G346.30-30.35 |               A3653 | 298.31002 | -52.06647 | 0.107 | 346.30 |  3.98 |    False |    True |                    |  A3653 |        |                     | PSZ2 G346.30-30.35 |                 |          |                   |  5.75 | 4.04 | 1.69 | 13.97 |
| PSZ2 G358.21-87.49 |          Abell 2811 |  10.51932 | -28.53339 | 0.108 | 358.21 |  4.92 |    False |    True |         Abell 2811 |  A2811 |  76783 | ACT-CL J0042.1-2832 | PSZ2 G358.21-87.49 |           A2811 |          | MCXC J0042.1-2832 |  7.12 | 4.04 | 1.82 | 14.83 |
| PSZ2 G041.43-66.81 |               A2554 | 348.10844 | -21.55073 | 0.111 |  41.44 |  3.66 |    False |    True |                    |  A2554 |  76524 | ACT-CL J2312.2-2130 | PSZ2 G041.43-66.81 |           A2554 |          |                   |  5.29 | 4.05 | 1.65 | 13.14 |
| PSZ2 G287.05-23.21 |  PSZ2 G287.05-23.21 | 114.58791 | -75.12340 | 0.111 | 287.06 |  2.92 |    False |   False |                    |        |        |                     | PSZ2 G287.05-23.21 |                 |          | MCXC J0738.1-7506 |  4.23 | 4.08 | 1.53 | 12.18 |
| PSZ2 G065.81-83.77 |                 A42 |   7.15038 | -23.63187 | 0.112 |  65.81 |  3.82 |    False |    True |                    |    A42 |  72590 |                     | PSZ2 G065.81-83.77 |             A42 |          |                   |  5.52 | 4.05 | 1.67 | 13.21 |
| PSZ2 G302.85-88.63 |               A2829 |  12.86147 | -28.49781 | 0.112 | 302.86 |  4.19 |    False |    True |                    |  A2829 |  76852 |                     | PSZ2 G302.85-88.63 |                 |          |                   |  6.06 | 4.04 | 1.72 | 13.56 |
| PSZ2 G352.28-77.66 |               A2721 |   1.48968 | -34.70146 | 0.115 | 352.28 |  5.40 |    False |    True |                    |  A2721 |  80599 | ACT-CL J0005.9-3443 | PSZ2 G352.28-77.66 |           A2721 |          |                   |  7.81 | 4.04 | 1.87 | 14.50 |
| PSZ2 G269.82-64.35 |               A2988 |  33.22314 | -47.20038 | 0.115 | 269.82 |  3.07 |    False |   False |                    |  A2988 |  88156 |                     | PSZ2 G269.82-64.35 |           A2988 |          | MCXC J0212.8-4707 |  4.44 | 4.07 | 1.55 | 11.99 |
| PSZ2 G045.50-37.21 |               63703 | 321.31991 |  -6.97814 | 0.115 |  45.51 |  3.79 |    False |    True |                    |        |  63703 |                     | PSZ2 G045.50-37.21 | RXCJ2125.2-0657 |          |                   |  5.48 | 4.05 | 1.66 | 12.83 |
| PSZ2 G255.64-25.30 |               88833 |  94.23680 | -47.79069 | 0.116 | 255.65 |  3.89 |    False |    True |                    |        |  88833 |                     | PSZ2 G255.64-25.30 |                 |          | MCXC J0616.8-4748 |  5.63 | 4.05 | 1.68 | 12.83 |
| PSZ2 G285.52-62.23 |               A2941 |  26.26237 | -53.04050 | 0.117 | 285.52 |  4.90 |    False |    True |                    |  A2941 |  91401 | ACT-CL J0144.9-5301 | PSZ2 G285.52-62.23 |           A2941 |          | MCXC J0145.0-5300 |  7.09 | 4.04 | 1.81 | 13.82 |
| PSZ2 G295.34+23.34 |               86198 | 183.89083 | -38.99294 | 0.119 | 295.35 |  5.71 |    False |    True |                    |        |  86198 |                     | PSZ2 G295.34+23.34 | RXCJ1215.4-3900 |          |                   |  8.25 | 4.05 | 1.90 | 14.29 |
| PSZ2 G127.71-69.55 |  PSZ2 G127.71-69.55 |  14.53889 |  -6.75059 | 0.119 | 127.71 |  5.48 |    False |    True |                    |        |        |                     | PSZ2 G127.71-69.55 |                 |          |                   |  7.92 | 4.05 | 1.88 | 14.07 |
| PSZ2 G277.38+47.07 |               A1348 | 175.36749 | -12.29897 | 0.119 | 277.39 |  3.79 |    False |    True |                    |  A1348 |        |                     | PSZ2 G277.38+47.07 |           A1348 |          |                   |  5.48 | 4.05 | 1.66 | 12.42 |
| PSZ2 G000.04+45.13 |               A2051 | 229.19051 |  -1.01722 | 0.120 |   0.04 |  5.35 |    False |    True |                    |  A2051 |  58230 |                     | PSZ2 G000.04+45.13 |                 |          |                   |  7.73 | 4.05 | 1.86 | 13.90 |
| PSZ2 G278.33-41.53 |               A3216 |  60.93188 | -65.24202 | 0.120 | 278.33 |  4.53 |    False |    True |                    |  A3216 |  99654 |                     | PSZ2 G278.33-41.53 |                 |          |                   |  6.55 | 4.04 | 1.76 | 13.13 |
| PSZ2 G346.36-77.71 |               A2730 |   2.48662 | -35.66487 | 0.120 | 346.37 |  3.32 |    False |   False |                    |  A2730 |  80611 |                     | PSZ2 G346.36-77.71 |                 |          |                   |  4.81 | 4.06 | 1.59 | 11.84 |
| PSZ2 G047.73-60.15 |               A2496 | 342.75837 | -16.40015 | 0.122 |  47.74 |  4.54 |    False |    True |                    |  A2496 |  72226 | ACT-CL J2250.9-1624 | PSZ2 G047.73-60.15 |                 |          |                   |  6.56 | 4.04 | 1.76 | 12.93 |
| PSZ2 G268.30+28.89 |               74623 | 159.59889 | -24.88419 | 0.123 | 268.30 |  3.82 |    False |    True |                    |        |  74623 |                     | PSZ2 G268.30+28.89 |                 |          |                   |  5.53 | 4.05 | 1.66 | 12.13 |
| PSZ2 G198.47-23.69 |               56036 |  75.34242 |   1.15538 | 0.125 | 198.48 |  4.90 |    False |    True |                    |        |  56036 | ACT-CL J0501.4+0110 | PSZ2 G198.47-23.69 |                 |          |                   |  7.08 | 4.04 | 1.80 | 13.01 |
| PSZ2 G254.73-30.52 |               A3363 |  86.35552 | -47.95765 | 0.125 | 254.74 |  3.07 |    False |   False |                    |  A3363 |  88689 | ACT-CL J0546.1-4752 | PSZ2 G254.73-30.52 |                 |          | MCXC J0545.5-4756 |  4.44 | 4.07 | 1.54 | 11.09 |
| PSZ2 G315.36+38.54 |               A1757 | 203.42017 | -23.30417 | 0.126 | 315.36 |  5.24 |    False |    True |                    |  A1757 |  75132 |                     | PSZ2 G315.36+38.54 |                 |          |                   |  7.58 | 4.05 | 1.84 | 13.15 |
| PSZ2 G282.12+54.04 |               A1448 | 180.72976 |  -6.85829 | 0.127 | 282.12 |  6.28 |    False |    True |                    |  A1448 |  62255 |                     | PSZ2 G282.12+54.04 |                 |          |                   |  9.08 | 4.06 | 1.96 | 13.93 |
| PSZ2 G288.63-37.66 |          Abell 3186 |  58.06098 | -74.00856 | 0.127 | 288.63 |  8.69 |     True |   False |         Abell 3186 |  A3186 |        |                     | PSZ2 G288.63-37.66 |                 |          | MCXC J0352.4-7401 | 12.56 | 4.13 | 2.18 | 15.50 |
| PSZ2 G306.50+38.50 |               A3541 | 195.92780 | -24.28065 | 0.129 | 306.51 |  5.77 |    False |    True |                    |  A3541 |  75079 |                     | PSZ2 G306.50+38.50 |                 |          |                   |  8.34 | 4.06 | 1.90 | 13.35 |
| PSZ2 G039.98-53.12 | ACT-CL J2216.9-1725 | 334.23695 | -17.40761 | 0.130 |  39.98 |  4.69 |    False |    True |                    |        |        | ACT-CL J2216.9-1725 | PSZ2 G039.98-53.12 |                 |          |                   |  6.78 | 4.04 | 1.78 | 12.35 |
| PSZ2 G282.67+20.83 |               86086 | 168.54960 | -38.18372 | 0.131 | 282.68 |  6.00 |    False |    True |                    |        |  86086 |                     | PSZ2 G282.67+20.83 |                 |          |                   |  8.68 | 4.06 | 1.93 | 13.36 |
| PSZ2 G044.07-59.30 |               A2478 | 341.13824 | -17.71689 | 0.132 |  44.07 |  4.09 |    False |    True |                    |  A2478 |        |                     | PSZ2 G044.07-59.30 |                 |          |                   |  5.92 | 4.04 | 1.70 | 11.61 |
| PSZ2 G273.59+63.27 |          Abell 1437 | 180.10910 |   3.34847 | 0.134 | 273.59 |  7.47 |    False |    True |         Abell 1437 |  A1437 |  52985 |                     | PSZ2 G273.59+63.27 |                 |          |                   | 10.80 | 4.10 | 2.07 | 14.06 |
| PSZ2 G256.38+44.04 |               A1084 | 161.13657 |  -7.05995 | 0.134 | 256.38 |  4.30 |    False |    True |                    |  A1084 |  61933 |                     | PSZ2 G256.38+44.04 |                 |          |                   |  6.21 | 4.04 | 1.72 | 11.67 |
| PSZ2 G039.32-59.88 |               A2474 | 340.76980 | -20.16404 | 0.136 |  39.32 |  4.31 |    False |    True |                    |  A2474 |        | ACT-CL J2243.0-2010 | PSZ2 G039.32-59.88 |                 |          |                   |  6.23 | 4.04 | 1.72 | 11.54 |
| PSZ2 G342.62-39.60 |               A3718 | 313.97211 | -54.91498 | 0.139 | 342.63 |  4.06 |    False |    True |                    |  A3718 |  96545 | ACT-CL J2055.9-5456 | PSZ2 G342.62-39.60 |                 |          |                   |  5.87 | 4.04 | 1.69 | 11.09 |
| PSZ2 G241.79-24.01 |          Abell 3378 |  91.46955 | -35.30911 | 0.139 | 241.79 |  7.54 |    False |    True |         Abell 3378 |  A3378 |  81642 | ACT-CL J0605.7-3518 | PSZ2 G241.79-24.01 |                 |          |                   | 10.90 | 4.11 | 2.07 | 13.62 |
| PSZ2 G167.98-59.95 |                A329 |  33.68422 |  -4.58562 | 0.139 | 167.99 |  5.81 |    False |    True |                    |   A329 |  60076 | ACT-CL J0214.7-0432 | PSZ2 G167.98-59.95 |                 |          |                   |  8.40 | 4.06 | 1.90 | 12.48 |
| PSZ2 G006.82-34.71 |               83570 | 307.71099 | -35.56413 | 0.140 |   6.82 |  4.25 |    False |    True |                    |        |  83570 |                     | PSZ2 G006.82-34.71 |                 |          |                   |  6.15 | 4.04 | 1.71 | 11.21 |
| PSZ2 G270.95-31.78 |               97502 |  85.58297 | -61.87258 | 0.140 | 270.95 |  3.17 |    False |   False |                    |        |  97502 |                     | PSZ2 G270.95-31.78 |                 |          |                   |  4.58 | 4.06 | 1.55 | 10.15 |
| PSZ2 G002.08-68.28 |              AS1109 | 349.63243 | -36.33256 | 0.140 |   2.09 |  3.82 |    False |   False |                    | AS1109 |  84026 | ACT-CL J2318.4-3618 | PSZ2 G002.08-68.28 |                 |          |                   |  5.53 | 4.05 | 1.65 | 10.81 |
| PSZ2 G276.09-41.53 |               A3230 |  62.66391 | -63.74112 | 0.140 | 276.09 |  3.88 |    False |   False |                    |  A3230 |  97286 |                     | PSZ2 G276.09-41.53 |                 |          |                   |  5.61 | 4.04 | 1.66 | 10.86 |
| PSZ2 G042.81-82.97 |                 A22 |   5.17247 | -25.71381 | 0.141 |  42.81 |  5.75 |    False |    True |                    |    A22 |  76675 | ACT-CL J0020.6-2543 | PSZ2 G042.81-82.97 |                 |          | MCXC J0020.7-2542 |  8.31 | 4.06 | 1.89 | 12.30 |
| PSZ2 G002.77-56.16 |               A3856 | 334.65947 | -38.87941 | 0.141 |   2.78 |  5.95 |    False |    True |                    |  A3856 |  87617 | ACT-CL J2218.6-3853 | PSZ2 G002.77-56.16 |                 |          |                   |  8.61 | 4.06 | 1.91 | 12.43 |
| PSZ2 G272.16+33.47 |               A1146 | 165.30661 | -22.72895 | 0.142 | 272.17 |  5.16 |    False |    True |                    |  A1146 |  74668 |                     | PSZ2 G272.16+33.47 |                 |          |                   |  7.46 | 4.05 | 1.83 | 11.82 |
