|               name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| PSZ2 G185.16-53.63 |   44.76948 |  -6.97114 | 0.423 | 185.17 |  6.35 |    False |    True |               |                    |             |        | ACT-CL J0259.0-0659 |                 |          |                   |
| PSZ2 G294.68-37.01 |   45.99101 | -77.90321 | 0.274 | 294.68 |  6.99 |    False |    True |               |                    |             |        |                     |                 |          | MCXC J0303.7-7752 |
| PSZ2 G240.61-60.40 |   46.01923 | -36.91938 | 0.219 | 240.62 |  4.26 |    False |    True |  SPLUS-s29s28 |                    |  ABELL 3084 |  84590 | ACT-CL J0304.0-3656 |                 |          |                   |
| PSZ2 G263.03-56.19 |   46.08524 | -49.35570 | 0.392 | 263.03 |  4.70 |    False |    True |  SPLUS-s38s24 |                    |             |  91523 | ACT-CL J0304.2-4921 |                 |          |                   |
| PSZ2 G223.93-60.10 |   46.75288 | -28.68437 | 0.254 | 223.94 |  6.96 |    False |    True |               | PSZ2 G223.93-60.10 |  ABELL 3088 |  77253 | ACT-CL J0307.0-2840 |                 |          |                   |
| PSZ2 G281.26-46.90 |   47.84878 | -63.90666 | 0.284 | 281.27 |  4.36 |    False |    True |               |                    |             |  97180 |                     |                 |          |                   |
| PSZ2 G255.32-56.27 |   48.61404 | -45.43075 | 0.072 | 255.33 |  1.74 |    False |    True |  SPLUS-s35s27 |                    |  ABELL 3104 |  88329 | ACT-CL J0314.4-4524 |                 |          |                   |
| PSZ2 G260.52-54.50 |   49.36292 | -48.83140 | 0.164 | 260.52 |  2.97 |    False |   False |  SPLUS-s38s25 |                    |  ABELL 3113 |  91519 | ACT-CL J0317.8-4849 |                 |          |                   |
| PSZ2 G252.99-56.09 |   49.45073 | -44.26502 | 0.075 | 253.00 |  2.93 |    False |    True |  SPLUS-s34s28 |                    |  ABELL 3112 |  88313 | ACT-CL J0317.9-4420 |                 |          |                   |
| PSZ2 G181.44-44.76 |   50.12635 |   0.51147 | 0.394 | 181.45 |  5.14 |    False |    True | STRIPE82_0072 |                    |             |        | ACT-CL J0320.5+0032 |                 |          |                   |
| PSZ2 G269.31-49.87 |   52.17589 | -55.72033 | 0.085 | 269.31 |  3.26 |    False |    True |  SPLUS-s43s23 |                    |  ABELL 3126 |  94531 | ACT-CL J0328.6-5541 |                 |          |                   |
| PSZ2 G264.60-51.07 |   52.66215 | -52.50244 | 0.440 | 264.60 |  6.93 |    False |    True |  SPLUS-s40s25 |                    |  ABELL 3128 |  91696 | ACT-CL J0330.9-5228 |                 |          |                   |
| PSZ2 G212.25-53.20 |   52.77565 | -21.02760 | 0.188 | 212.25 |  4.34 |    False |    True |               |                    |             |  73103 | ACT-CL J0331.1-2100 |                 |          |                   |
| PSZ2 G279.51-44.85 |   53.24723 | -64.23133 | 0.079 | 279.52 |  1.70 |    False |    True |               |                    | ABELL S0362 |  97185 |                     |                 |          |                   |
| PSZ2 G245.47-53.62 |   54.06088 | -40.62374 | 0.173 | 245.48 |  4.42 |    False |    True |  SPLUS-s31s32 |                    |  ABELL 3140 |  84720 | ACT-CL J0336.2-4037 |                 |          |                   |
| PSZ2 G244.11-53.59 |   54.24953 | -39.82990 | 0.103 | 244.12 |  2.77 |    False |    True |  SPLUS-s31s32 |                    |  ABELL 3142 |  84712 |                     |                 |          |                   |
| PSZ2 G227.63-52.28 |   55.91697 | -29.92770 | 0.211 | 227.64 |  3.65 |    False |   False |               |                    |  ABELL 3157 |        |                     |                 |          |                   |
| PSZ2 G281.09-42.51 |   56.29936 | -66.50148 | 0.380 | 281.09 |  4.48 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G215.19-49.65 |   57.00110 | -21.73505 | 0.240 | 215.20 |  5.99 |    False |    True |               |                    |  ABELL 3168 |  73166 | ACT-CL J0347.9-2144 |                 |          |                   |
| PSZ2 G252.23-50.62 |   57.06646 | -45.24521 | 0.358 | 252.24 |  4.56 |    False |    True |  SPLUS-s35s31 |                    |             |  88396 | ACT-CL J0348.2-4514 |                 |          |                   |
| PSZ2 G243.34-50.92 |   57.75945 | -39.63819 | 0.237 | 243.34 |  4.11 |    False |   False |  SPLUS-s31s34 |                    |             |        | ACT-CL J0351.1-3937 |                 |          |                   |
| PSZ2 G288.63-37.66 |   58.06098 | -74.00856 | 0.127 | 288.63 |  6.44 |     True |   False |        MC0124 |                    |  ABELL 3186 |        |                     |                 |          | MCXC J0352.4-7401 |
| PSZ2 G240.30-50.34 |   58.64051 | -37.75112 | 0.251 | 240.31 |  5.16 |    False |    True |  SPLUS-s29s36 |                    |  ABELL 3184 |        | ACT-CL J0354.5-3745 |                 |          |                   |
| PSZ2 G228.30-49.02 |   59.70575 | -29.93471 | 0.425 | 228.31 |  7.20 |    False |    True |  SPLUS-s24s39 |                    |  ABELL 3192 |  77379 | ACT-CL J0358.9-2955 |                 |          |                   |
| PSZ2 G286.28-38.36 |   59.80473 | -72.09710 | 0.307 | 286.28 |  5.94 |    False |    True |        MC0104 |                    |             | 101752 |                     |                 |          |                   |
| PSZ2 G278.33-41.53 |   60.93188 | -65.24202 | 0.120 | 278.33 |  3.36 |    False |    True |               |                    |  ABELL 3216 |  99654 |                     |                 |          |                   |
| PSZ2 G276.09-41.53 |   62.66391 | -63.74112 | 0.140 | 276.09 |  2.88 |    False |   False |               |                    |  ABELL 3230 |  97286 |                     |                 |          |                   |
| PSZ2 G255.60-46.18 |   62.78922 | -48.30302 | 0.424 | 255.60 |  6.32 |    False |    True |  SPLUS-s37s32 |                    |             |  91718 | ACT-CL J0411.2-4819 |                 |          |                   |
| PSZ2 G268.34-43.64 |   63.03703 | -57.66236 | 0.340 | 268.34 |  4.40 |    False |    True |  SPLUS-s45s26 |                    |             |        | ACT-CL J0412.0-5743 |                 |          |                   |
| PSZ2 G205.93-39.46 |   64.40636 | -11.89587 | 0.443 | 205.94 | 12.25 |     True |   False |               | PSZ2 G205.93-39.46 |             |  64990 | ACT-CL J0417.5-1154 |                 |          | MCXC J0417.5-1154 |
| PSZ2 G287.00-35.24 |   68.10166 | -74.16849 | 0.430 | 287.00 |  5.23 |    False |    True |        MC0145 |                    |             |        |                     |                 |          |                   |
| PSZ2 G195.39-29.08 |   69.30034 |   0.72715 | 0.284 | 195.39 |  5.56 |    False |    True |               |                    |             |  55947 | ACT-CL J0437.1+0043 |                 |          |                   |
| PSZ2 G262.73-40.92 |   69.59539 | -54.32084 | 0.421 | 262.73 |  7.46 |    False |    True |  SPLUS-s42s31 |                    |             |        | ACT-CL J0438.2-5419 |                 |          |                   |
| PSZ2 G252.95-41.35 |   70.23231 | -46.95804 | 0.350 | 252.95 |  4.32 |    False |    True |  SPLUS-s36s37 |                    |             |        | ACT-CL J0440.9-4658 |                 |          |                   |
| PSZ2 G250.43-41.42 |   70.24581 | -45.07032 | 0.150 | 250.44 |  2.64 |    False |   False |  SPLUS-s35s38 |                    |  ABELL 3284 |  88539 |                     |                 |          |                   |
| PSZ2 G219.45-35.90 |   72.04702 | -20.44462 | 0.072 | 219.46 |  2.47 |    False |    True |               |                    |  ABELL 0514 |  73371 |                     |            A514 |          |                   |
| PSZ2 G249.91-39.86 |   72.44709 | -44.68982 | 0.150 | 249.92 |  3.61 |    False |    True |  SPLUS-s34s40 |                    |  ABELL 3292 |  88534 | ACT-CL J0449.9-4440 |                 |          | MCXC J0449.9-4440 |
| PSZ2 G200.95-28.16 |   72.58349 |  -3.00734 | 0.220 | 200.96 |  5.30 |    False |    True |               |                    |             |        | ACT-CL J0450.3-0256 |                 |          |  PLCK G200.9-28.2 |
| PSZ2 G208.80-30.67 |   73.52095 | -10.22628 | 0.248 | 208.81 |  7.26 |    False |    True |               |          Abell0521 |  ABELL 0521 |  65130 | ACT-CL J0454.1-1013 |                 |          | MCXC J0454.1-1014 |
| PSZ2 G195.75-24.32 |   73.52666 |   2.96225 | 0.203 | 195.76 |  7.80 |    False |    True |               | PSZ2 G195.75-24.32 |  ABELL 0520 |  51504 | ACT-CL J0454.1+0255 |                 |          |                   |
| PSZ2 G287.96-32.99 |   74.84916 | -75.80179 | 0.250 | 287.97 |  6.18 |    False |    True |               |                    |             | 101808 |                     |                 |          |                   |
| PSZ2 G198.47-23.69 |   75.34242 |   1.15538 | 0.125 | 198.48 |  3.63 |    False |    True |               |                    |             |  56036 | ACT-CL J0501.4+0110 |                 |          |                   |
| PSZ2 G271.28-36.11 |   76.39199 | -61.74105 | 0.250 | 271.29 |  3.81 |    False |   False |               |                    |             |  97361 |                     |                 |          |                   |
| PSZ2 G270.63-35.67 |   77.48085 | -61.28753 | 0.313 | 270.63 |  5.34 |    False |    True |               |                    |             |        |                     |                 |          |                   |
| PSZ2 G250.89-36.24 |   77.59810 | -45.32916 | 0.200 | 250.90 |  5.74 |    False |    True |               |                    |  ABELL 3322 |  88650 | ACT-CL J0510.3-4519 |                 |          | MCXC J0510.2-4519 |
| PSZ2 G208.60-26.00 |   77.68686 |  -8.02020 | 0.220 | 208.60 |  7.74 |    False |    True |               | PSZ2 G208.60-26.00 |             |  60710 | ACT-CL J0510.7-0801 |                 |          | MCXC J0510.7-0801 |
| PSZ2 G246.49-35.31 |   78.44051 | -41.69126 | 0.081 | 246.50 |  1.45 |    False |   False |               |                    |             |        |                     |                 |          |                   |
