|               name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |                    CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| PSZ2 G256.53-65.70 |  36.46238 | -41.92138 | 0.220 | 256.53 |  8.20 |    False |    True |  SPLUS-s32s21 |                            |  ABELL 3017 |  84568 | ACT-CL J0225.8-4154 |                 |          | MCXC J0225.9-4154 | 11.75 | 4.18 | 2.07 |  9.40 |
| PSZ2 G223.16-68.81 |  36.80960 | -28.83774 | 0.214 | 223.17 |  5.58 |    False |    True |               |                            |             |  77089 | ACT-CL J0227.1-2851 |                 |          |                   |  8.05 | 4.08 | 1.82 |  8.47 |
| PSZ2 G235.74-67.98 |  37.33753 | -33.51074 | 0.079 | 235.75 |  2.72 |    False |    True |  SPLUS-s26s24 |                            |             |  80950 |                     |                 |          |                   |  3.90 | 4.10 | 1.50 | 16.19 |
| PSZ2 G174.40-57.33 |  37.93007 |  -4.86115 | 0.184 | 174.41 |  5.34 |    False |    True |               |                            |  ABELL 0362 |  60155 | ACT-CL J0231.7-0453 |                 |          |                   |  7.70 | 4.06 | 1.82 |  9.48 |
| PSZ2 G259.98-63.43 |  38.07817 | -44.36122 | 0.284 | 259.99 | 10.17 |    False |    True |  SPLUS-s34s21 |         PSZ2 G259.98-63.43 |             |  88216 | ACT-CL J0232.2-4421 |                 |          | MCXC J0232.2-4420 | 14.47 | 4.35 | 2.16 |  8.15 |
| PSZ2 G280.23-53.84 |  38.68215 | -58.49170 | 0.415 | 280.23 |  6.46 |    False |    True |  SPLUS-s45s16 |                            |             |  94478 | ACT-CL J0234.7-5831 |                 |          |                   |  9.23 | 4.28 | 1.77 |  5.20 |
| PSZ2 G270.93-58.78 |  38.94684 | -51.36232 | 0.278 | 270.94 |  8.03 |    False |    True |  SPLUS-s40s19 |                            |             |  91463 | ACT-CL J0235.7-5120 |                 |          |                   | 11.46 | 4.23 | 2.00 |  7.66 |
| PSZ2 G200.63-64.71 |  39.10859 | -19.34895 | 0.091 | 200.63 |  3.34 |    False |    True |               |                            |  ABELL 0367 |  68918 |                     |                 |          |                   |  4.82 | 4.06 | 1.61 | 15.32 |
| PSZ2 G260.85-62.19 |  39.27204 | -45.35554 | 0.190 | 260.86 |  5.07 |    False |    True |  SPLUS-s35s22 |                            |  ABELL 3036 |  88234 | ACT-CL J0236.6-4516 |                 |          |                   |  7.30 | 4.06 | 1.78 |  9.07 |
| PSZ2 G172.98-53.55 |  39.96505 |  -1.56808 | 0.373 | 172.99 | 10.31 |     True |   False | STRIPE82_0057 |                  Abell0370 |  ABELL 0370 |        | ACT-CL J0239.8-0134 |                 |          |  ZwCl 0237.2-0146 | 14.58 | 4.49 | 2.09 |  6.57 |
| PSZ2 G222.99-65.70 |  40.35443 | -28.65943 | 0.232 | 223.00 |  8.34 |    False |    True |               |                            |  ABELL 3041 |  77178 | ACT-CL J0241.3-2838 |                 |          |                   | 11.94 | 4.20 | 2.07 |  9.01 |
| PSZ2 G271.53-56.57 |  41.36870 | -53.04224 | 0.300 | 271.54 |  9.14 |    False |    True |  SPLUS-s41s20 |         PSZ2 G271.53-56.57 | ABELL S0295 |  91486 | ACT-CL J0245.5-5302 |                 |          | PSZ1 G271.48-56.5 | 13.00 | 4.32 | 2.07 |  7.51 |
| PSZ2 G173.90-51.89 |  41.51149 |  -0.74336 | 0.179 | 173.91 |  5.04 |    False |    True | STRIPE82_0059 |                            |  ABELL 0381 |  55606 | ACT-CL J0245.8-0042 |                 |          |                   |  7.27 | 4.05 | 1.79 |  9.52 |
| PSZ2 G205.05-62.95 |  41.60763 | -20.52687 | 0.310 | 205.05 | 10.30 |     True |   False |               |         PSZ2 G205.05-62.95 |  ABELL 3048 |  73036 | ACT-CL J0246.4-2033 |                 |          |                   | 14.61 | 4.40 | 2.15 |  7.61 |
| PSZ2 G176.25-52.57 |  42.05598 |  -2.23740 | 0.236 | 176.26 |  8.18 |    False |    True |               |                            |  ABELL 0384 |        | ACT-CL J0248.2-0216 |                 |          |                   | 11.72 | 4.20 | 2.05 |  8.84 |
| PSZ2 G277.76-51.74 |  43.56849 | -58.96076 | 0.438 | 277.76 | 13.07 |     True |   False |  SPLUS-s45s18 |         PSZ2 G277.76-51.74 |             |  94481 | ACT-CL J0254.3-5857 |                 |          |                   | 18.23 | 4.81 | 2.20 |  6.26 |
| PSZ2 G210.08-60.96 |  44.41812 | -22.16270 | 0.322 | 210.09 |  8.17 |    False |    True |               |                            |  ABELL 0402 |  73057 | ACT-CL J0257.7-2209 |                 |          | MCXC J0257.6-2209 | 11.64 | 4.29 | 1.98 |  6.84 |
| PSZ2 G185.16-53.63 |  44.76948 |  -6.97114 | 0.423 | 185.17 |  8.57 |    False |    True |               |                            |             |        | ACT-CL J0259.0-0659 |                 |          |                   | 12.12 | 4.44 | 1.93 |  5.61 |
| PSZ2 G294.68-37.01 |  45.99101 | -77.90321 | 0.274 | 294.68 |  9.43 |    False |    True |               |                            |             |        |                     |                 |          | MCXC J0303.7-7752 | 13.42 | 4.30 | 2.12 |  8.17 |
| PSZ2 G240.61-60.40 |  46.01923 | -36.91938 | 0.219 | 240.62 |  5.75 |    False |    True |  SPLUS-s29s28 |                            |  ABELL 3084 |  84590 | ACT-CL J0304.0-3656 |                 |          |                   |  8.27 | 4.09 | 1.84 |  8.37 |
| PSZ2 G263.03-56.19 |  46.08524 | -49.35570 | 0.392 | 263.03 |  6.34 |    False |    True |  SPLUS-s38s24 |                            |             |  91523 | ACT-CL J0304.2-4921 |                 |          |                   |  9.06 | 4.25 | 1.77 |  5.40 |
| PSZ2 G223.93-60.10 |  46.75288 | -28.68437 | 0.254 | 223.94 |  9.39 |    False |    True |               |         PSZ2 G223.93-60.10 |  ABELL 3088 |  77253 | ACT-CL J0307.0-2840 |                 |          |                   | 13.40 | 4.28 | 2.13 |  8.70 |
| PSZ2 G281.26-46.90 |  47.84878 | -63.90666 | 0.284 | 281.27 |  5.87 |    False |    True |               |                            |             |  97180 |                     |                 |          |                   |  8.44 | 4.14 | 1.81 |  6.80 |
| PSZ2 G255.32-56.27 |  48.61404 | -45.43075 | 0.072 | 255.33 |  2.35 |    False |    True |  SPLUS-s35s27 |                            |  ABELL 3104 |  88329 | ACT-CL J0314.4-4524 |                 |          |                   |  3.37 | 4.14 | 1.44 | 16.91 |
| PSZ2 G260.52-54.50 |  49.36292 | -48.83140 | 0.164 | 260.52 |  4.01 |    False |   False |  SPLUS-s38s25 |                            |  ABELL 3113 |  91519 | ACT-CL J0317.8-4849 |                 |          |                   |  5.77 | 4.04 | 1.66 |  9.52 |
| PSZ2 G252.99-56.09 |  49.45073 | -44.26502 | 0.075 | 253.00 |  3.95 |    False |    True |  SPLUS-s34s28 |                            |  ABELL 3112 |  88313 | ACT-CL J0317.9-4420 |                 |          |                   |  5.69 | 4.04 | 1.71 | 19.27 |
| PSZ2 G181.44-44.76 |  50.12635 |   0.51147 | 0.394 | 181.45 |  6.93 |    False |    True | STRIPE82_0072 |                            |             |        | ACT-CL J0320.5+0032 |                 |          |                   |  9.87 | 4.29 | 1.82 |  5.53 |
| PSZ2 G269.31-49.87 |  52.17589 | -55.72033 | 0.085 | 269.31 |  4.40 |    False |    True |  SPLUS-s43s23 |                            |  ABELL 3126 |  94531 | ACT-CL J0328.6-5541 |                 |          |                   |  6.35 | 4.04 | 1.76 | 17.77 |
| PSZ2 G264.60-51.07 |  52.66215 | -52.50244 | 0.440 | 264.60 |  9.35 |    False |    True |  SPLUS-s40s25 |                            |  ABELL 3128 |  91696 | ACT-CL J0330.9-5228 |                 |          |                   | 13.18 | 4.52 | 1.97 |  5.60 |
| PSZ2 G212.25-53.20 |  52.77565 | -21.02760 | 0.188 | 212.25 |  5.86 |    False |    True |               |                            |             |  73103 | ACT-CL J0331.1-2100 |                 |          |                   |  8.44 | 4.08 | 1.87 |  9.61 |
| PSZ2 G279.51-44.85 |  53.24723 | -64.23133 | 0.079 | 279.52 |  2.29 |    False |    True |               |                            | ABELL S0362 |  97185 |                     |                 |          |                   |  3.29 | 4.14 | 1.42 | 15.41 |
| PSZ2 G245.47-53.62 |  54.06088 | -40.62374 | 0.173 | 245.48 |  5.96 |    False |    True |  SPLUS-s31s32 |                            |  ABELL 3140 |  84720 | ACT-CL J0336.2-4037 |                 |          |                   |  8.59 | 4.08 | 1.89 | 10.39 |
| PSZ2 G244.11-53.59 |  54.24953 | -39.82990 | 0.103 | 244.12 |  3.73 |    False |    True |  SPLUS-s31s32 |                            |  ABELL 3142 |  84712 |                     |                 |          |                   |  5.38 | 4.04 | 1.66 | 14.13 |
| PSZ2 G227.63-52.28 |  55.91697 | -29.92770 | 0.211 | 227.64 |  4.93 |    False |   False |               |                            |  ABELL 3157 |        |                     |                 |          |                   |  7.10 | 4.06 | 1.75 |  8.22 |
| PSZ2 G281.09-42.51 |  56.29936 | -66.50148 | 0.380 | 281.09 |  6.04 |    False |    True |               |                            |             |        |                     |                 |          |                   |  8.65 | 4.22 | 1.75 |  5.44 |
| PSZ2 G215.19-49.65 |  57.00110 | -21.73505 | 0.240 | 215.20 |  8.08 |    False |    True |               |                            |  ABELL 3168 |  73166 | ACT-CL J0347.9-2144 |                 |          |                   | 11.58 | 4.20 | 2.04 |  8.68 |
| PSZ2 G252.23-50.62 |  57.06646 | -45.24521 | 0.358 | 252.24 |  6.15 |    False |    True |  SPLUS-s35s31 |                            |             |  88396 | ACT-CL J0348.2-4514 |                 |          |                   |  8.80 | 4.21 | 1.78 |  5.73 |
| PSZ2 G243.34-50.92 |  57.75945 | -39.63819 | 0.237 | 243.34 |  5.55 |    False |    True |  SPLUS-s31s34 |                            |             |        | ACT-CL J0351.1-3937 |                 |          |                   |  7.98 | 4.09 | 1.80 |  7.75 |
| PSZ2 G288.63-37.66 |  58.06098 | -74.00856 | 0.127 | 288.63 |  8.69 |     True |   False |        MC0124 |                            |  ABELL 3186 |        |                     |                 |          | MCXC J0352.4-7401 | 12.48 | 4.12 | 2.18 | 15.47 |
| PSZ2 G240.30-50.34 |  58.64051 | -37.75112 | 0.251 | 240.31 |  6.96 |    False |    True |  SPLUS-s29s36 |                            |  ABELL 3184 |        | ACT-CL J0354.5-3745 |                 |          |                   |  9.98 | 4.16 | 1.93 |  7.96 |
| PSZ2 G228.30-49.02 |  59.70575 | -29.93471 | 0.425 | 228.31 |  9.72 |    False |    True |  SPLUS-s24s39 |                            |  ABELL 3192 |  77379 | ACT-CL J0358.9-2955 |                 |          |                   | 13.70 | 4.53 | 2.01 |  5.83 |
| PSZ2 G286.28-38.36 |  59.80473 | -72.09710 | 0.307 | 286.28 |  8.01 |    False |    True |        MC0104 |                            |             | 101752 |                     |                 |          |                   | 11.44 | 4.26 | 1.98 |  7.07 |
| PSZ2 G278.33-41.53 |  60.93188 | -65.24202 | 0.120 | 278.33 |  4.53 |    False |    True |               |                            |  ABELL 3216 |  99654 |                     |                 |          |                   |  6.53 | 4.04 | 1.76 | 13.12 |
| PSZ2 G276.09-41.53 |  62.66391 | -63.74112 | 0.140 | 276.09 |  3.88 |    False |    True |               |                            |  ABELL 3230 |  97286 |                     |                 |          |                   |  5.59 | 4.04 | 1.66 | 10.85 |
| PSZ2 G255.60-46.18 |  62.78922 | -48.30302 | 0.424 | 255.60 |  8.53 |    False |    True |  SPLUS-s37s32 |                            |             |  91718 | ACT-CL J0411.2-4819 |                 |          |                   | 12.06 | 4.44 | 1.93 |  5.60 |
| PSZ2 G268.34-43.64 |  63.03703 | -57.66236 | 0.340 | 268.34 |  5.93 |    False |    True |  SPLUS-s45s26 |                            |             |        | ACT-CL J0412.0-5743 |                 |          |                   |  8.49 | 4.18 | 1.77 |  5.90 |
| PSZ2 G205.93-39.46 |  64.40636 | -11.89587 | 0.443 | 205.94 | 16.53 |     True |   False |               |         PSZ2 G205.93-39.46 |             |  64990 | ACT-CL J0417.5-1154 |                 |          | MCXC J0417.5-1154 | 22.79 | 5.08 | 2.36 |  6.69 |
| PSZ2 G287.00-35.24 |  68.10166 | -74.16849 | 0.430 | 287.00 |  7.05 |    False |    True |        MC0145 |                            |             |        |                     |                 |          |                   | 10.03 | 4.34 | 1.81 |  5.20 |
| PSZ2 G195.39-29.08 |  69.30034 |   0.72715 | 0.284 | 195.39 |  7.50 |    False |    True |               |                            |             |  55947 | ACT-CL J0437.1+0043 |                 |          |                   | 10.74 | 4.22 | 1.96 |  7.37 |
| PSZ2 G262.73-40.92 |  69.59539 | -54.32084 | 0.421 | 262.73 | 10.07 |    False |    True |  SPLUS-s42s31 |                            |             |        | ACT-CL J0438.2-5419 |                 |          |                   | 14.19 | 4.55 | 2.04 |  5.94 |
