|   name |               Cluster Name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |                    CHANCES |                   Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
|  99242 |                 ABELL 3825 |  -30.41393 | -60.42974 | 0.084 | 331.93 |  77.00 |     True |   False |                            |              ABELL 3825 |  99242 |                     | PSZ2 G331.96-45.74 |           A3825 |          |                   |
|  68041 |                 ABELL 2428 |  -25.92824 |  -9.33353 | 0.084 |  51.39 |  42.64 |    False |    True |                            |              ABELL 2428 |  68041 |                     |                    |           A2428 |          |                   |
|  62325 |                 ABELL 1658 | -164.71944 |  -3.50115 | 0.084 | 307.67 |  21.45 |    False |   False |                            |              ABELL 1658 |  62325 |                     |                    |                 |          |                   |
|  68252 |                 ABELL 2569 |  -10.54233 | -12.80995 | 0.084 |  61.48 |  36.66 |    False |   False |                            |              ABELL 2569 |  68252 |                     |                    |                 |          |                   |
|  62335 |                  Abell1651 | -165.15474 |  -4.19150 | 0.084 | 306.74 |  56.66 |    False |    True |                  Abell1651 |              ABELL 1651 |  62335 | ACT-CL J1259.3-0410 | PSZ2 G306.77+58.61 |           A1651 |    A1651 |                   |
|  57829 |                  Abell1650 | -165.32478 |  -1.76073 | 0.084 | 306.68 |  65.13 |    False |    True |                  Abell1650 |              ABELL 1650 |  57829 | ACT-CL J1258.7-0145 | PSZ2 G306.66+61.06 |           A1650 |    A1650 |                   |
|  57957 |                      57957 | -157.07154 |  -1.86188 | 0.085 | 323.03 |  29.06 |    False |   False |                            |                         |  57957 |                     | PSZ2 G322.77+59.52 |                 |          |                   |
|  53589 |                      53589 | -130.12668 |   4.35910 | 0.085 |   6.73 |  27.30 |    False |   False |                            |                         |  53589 |                     |                    |                 |          |                   |
|  84145 |                 ABELL 2736 |    2.93601 | -42.21600 | 0.085 | 328.62 |  25.39 |    False |   False |                            |              ABELL 2736 |  84145 |                     |                    |                 |          |                   |
|  88716 |                 ABELL 3360 |   85.17755 | -43.45227 | 0.086 | 249.42 |  48.21 |    False |    True |                            |              ABELL 3360 |  88716 |                     |                    |                 |          | MCXC J0540.1-4322 |
|  88715 |                 ABELL 3360 |   85.04780 | -43.38522 | 0.086 | 249.32 |  50.73 |    False |    True |                            |              ABELL 3360 |  88715 |                     |                    |                 |          | MCXC J0540.1-4322 |
|  68561 |                 ABELL 0107 |   12.57456 | -19.24390 | 0.086 | 120.97 |  26.46 |    False |   False |                            |              ABELL 0107 |  68561 |                     |                    |                 |          |                   |
|  97485 |                      97485 |   79.80361 | -61.16637 | 0.086 | 270.32 |  26.38 |    False |   False |                            |                         |  97485 |                     |                    |                 |          |                   |
|  97498 |                      97498 |   81.21290 | -61.59347 | 0.086 | 270.76 |  27.54 |    False |   False |                            |                         |  97498 |                     |                    |                 |          |                   |
