|   name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |
|  66867 | -146.60825 | -14.08066 | 0.166 | 331.27 |  39.26 |    False |   False |  SPLUS-n11s47 |         |              ABELL 1876 |                     |                    |                 |          |                   |       |
|  82850 | -146.27716 | -33.87932 | 0.105 | 322.12 |  34.86 |    False |   False |               |         |              ABELL 3588 |                     |                    |                 |          |                   |       |
|  58013 | -146.24339 |  -0.45126 | 0.140 | 342.41 |  86.61 |    False |    True |  SPLUS-n01s47 |         |              ABELL 1882 |                     |                    |                 |          |                   |       |
|  86432 | -146.21055 | -39.44623 | 0.194 | 320.07 |  49.67 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  70995 | -146.01243 | -14.77872 | 0.202 | 331.57 |  53.84 |    False |   False |  SPLUS-n12s46 |         |                         |                     |                    |                 |          |                   |       |
|  71021 | -145.16030 | -17.19991 | 0.272 | 331.12 |  81.36 |    False |    True |  SPLUS-n14s47 |         |                         |                     | PSZ2 G331.10+40.81 |                 |          |                   |       |
|  66933 | -144.80292 |  -8.79966 | 0.072 | 337.12 |  20.49 |    False |   False |  SPLUS-n07s48 |         |              ABELL 1897 |                     |                    |                 |          |                   |       |
|  62648 | -144.78720 |  -7.42480 | 0.259 | 338.20 |  75.07 |    False |    True |  SPLUS-n06s49 |         |                         |                     |                    |                 |          |                   |       |
|  62641 | -143.19018 |  -6.76117 | 0.403 | 340.79 | 108.67 |    False |    True |  SPLUS-n06s50 |         |                         |                     |                    |                 |          |                   |       |
|  75269 | -142.66989 | -24.59158 | 0.242 | 329.67 |  55.17 |    False |   False |  SPLUS-n19s36 |         |                         |                     |                    |                 |          |                   |       |
|  79284 | -141.59158 | -28.40293 | 0.283 | 328.72 |  91.88 |    False |    True |               |         |              ABELL 3604 |                     |                    |                 |          |                   |       |
|  79283 | -140.91203 | -28.35639 | 0.158 | 329.36 |  60.14 |    False |    True |               |         |              ABELL 3606 |                     | PSZ2 G329.29+29.18 |                 |          |                   |       |
|  66934 | -140.78752 |  -9.00501 | 0.083 | 341.86 |  24.49 |    False |   False |  SPLUS-n08s51 |         |                         |                     |                    |                 |          |                   |       |
|  58098 | -140.59506 |  -0.29868 | 0.138 | 350.22 |  42.20 |    False |   False |  SPLUS-n01s52 |         |              ABELL 1938 |                     |                    |                 |          |                   |       |
|  53527 | -140.39800 |   3.64089 | 0.227 | 355.01 |  80.40 |    False |    True |  SPLUS-n04n52 |         |              ABELL 1942 |                     | PSZ2 G355.07+55.32 |                 |          |                   |       |
|  75294 | -139.94341 | -22.29265 | 0.247 | 333.61 |  59.41 |    False |   False |  SPLUS-n18s48 |         |              ABELL 1945 |                     |                    |                 |          |                   |       |
|  71099 | -139.73564 | -17.18883 | 0.393 | 337.02 |  81.15 |    False |    True |  SPLUS-n14s50 |         |                         |                     | PSZ2 G337.01+38.30 |                 |          |                   |       |
|  75320 | -139.71481 | -25.10077 | 0.158 | 332.21 |  45.11 |    False |   False |  SPLUS-n20s38 |         |                         |                     |                    |                 |          |                   |       |
|  58165 | -138.90735 |   0.20917 | 0.301 | 352.82 |  60.69 |    False |   False |  SPLUS-n01s53 |         |                         |                     |                    |                 |          |                   |       |
|  62682 | -138.86578 |  -5.16526 | 0.377 | 347.43 | 127.63 |    False |    True |  SPLUS-n05s53 |         |                         |                     |                    |                 |          |                   |       |
|  82896 | -138.72168 | -34.16301 | 0.229 | 328.27 |  76.46 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
|  53531 | -137.89892 |   3.52988 | 0.123 | 357.86 |  30.42 |    False |   False |  SPLUS-n04n53 |         |                         |                     |                    |                 |          |                   |       |
|  66993 | -137.55622 |  -9.16007 | 0.181 | 345.37 |  48.15 |    False |   False |  SPLUS-n08s53 |         |                         |                     |                    |                 |          |                   |       |
|  66989 | -136.70376 |  -8.93482 | 0.103 | 346.47 |  28.81 |    False |   False |  SPLUS-n07s54 |         |                         |                     |                    |                 |          |                   |       |
|  82936 | -136.68590 | -33.00014 | 0.301 | 330.50 |  60.38 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  66991 | -136.62420 |  -9.04660 | 0.102 | 346.46 |  34.24 |    False |   False |  SPLUS-n08s54 |         |                         |                     |                    |                 |          |                   |       |
|  82939 | -136.20384 | -33.42515 | 0.116 | 330.65 |  61.59 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
|  62687 | -135.91980 |  -5.82958 | 0.213 | 350.08 |  75.07 |    False |    True |  SPLUS-n05s55 |         |              ABELL 1994 |                     | PSZ2 G350.12+45.29 |                 |          |                   |       |
|  66984 | -135.26484 |  -8.73277 | 0.113 | 348.16 |  33.73 |    False |   False |  SPLUS-n07s55 |         |                         |                     |                    | RXCJ1459.0-0843 |          |                   |       |
|  71158 | -135.13104 | -18.18469 | 0.235 | 340.91 | 147.60 |     True |   False |  SPLUS-n15s53 |         |             ABELL S0780 |                     | PSZ2 G340.94+35.07 |                 |          |                   |       |
|  66980 | -134.76323 |  -8.52195 | 0.109 | 348.86 |  54.82 |    False |    True |  SPLUS-n07s55 |         |                         |                     |                    |                 |          |                   |       |
|  62718 | -134.74887 |  -8.50842 | 0.108 | 348.88 |  52.39 |    False |    True |  SPLUS-n07s55 |         |                         |                     |                    |                 |          |                   |       |
|  58190 | -133.96573 |  -2.79872 | 0.209 | 355.08 |  64.47 |    False |   False |               |         |                         | ACT-CL J1504.1-0248 | PSZ2 G355.07+46.20 |                 |          |                   |       |
|  79316 | -133.52959 | -26.99417 | 0.332 | 336.53 | 108.96 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
|  62767 | -133.03924 |  -7.65226 | 0.148 | 351.37 |  44.73 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  58221 | -132.14647 |  -0.04977 | 0.091 | 359.80 |  28.78 |    False |   False |               |         |              ABELL 2030 |                     |                    |                 |          |                   |       |
|  67062 | -132.02951 | -11.25057 | 0.109 | 349.21 |  94.40 |     True |   False |               |         |              ABELL 2031 |                     | PSZ2 G349.18+38.66 |                 |          |                   |       |
|  58238 | -131.78994 |  -1.47200 | 0.122 | 358.62 |  40.83 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
