|                name |               Cluster Name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |                    CHANCES |                   Abell | CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |  m200 | c200 | r200 |  d200 |
| ACT-CL J0210.1+0254 |                 ABELL 0313 |  32.54886 |   2.90721 | 0.150 | 158.31 |  2.16 |    False |   False |                            |              ABELL 0313 | 51077 | ACT-CL J0210.1+0254 |                    |                 |          |                   |  3.11 | 4.12 | 1.36 |  8.38 |
| ACT-CL J0500.9-5116 |                 ABELL 3303 |  75.23796 | -51.26948 | 0.151 | 258.32 |  2.48 |    False |   False |                            |              ABELL 3303 | 91836 | ACT-CL J0500.9-5116 |                    |                 |          |                   |  3.56 | 4.09 | 1.42 |  8.73 |
| ACT-CL J0616.5-3947 |                ABELL S0579 |  94.12503 | -39.79764 | 0.152 | 247.15 |  3.07 |    False |   False |                            |             ABELL S0579 | 85242 | ACT-CL J0616.5-3947 | PSZ2 G247.19-23.31 |                 |          |                   |  4.43 | 4.06 | 1.53 |  9.33 |
| ACT-CL J0029.8-1219 |                 ABELL 0045 |   7.46241 | -12.32506 | 0.152 | 103.01 |  3.55 |    False |    True |                            |              ABELL 0045 | 64250 | ACT-CL J0029.8-1219 |                    |                 |          |                   |  5.11 | 4.04 | 1.60 |  9.76 |
| ACT-CL J2300.0-5617 |                 ABELL 3950 | 345.00260 | -56.29165 | 0.153 | 329.59 |  3.46 |    False |    True |                            |              ABELL 3950 | 96813 | ACT-CL J2300.0-5617 | PSZ2 G329.53-54.73 |                 |          |                   |  4.98 | 4.05 | 1.59 |  9.66 |
| ACT-CL J2234.4-3744 |                 ABELL 3888 | 338.61492 | -37.74309 | 0.153 |   3.93 | 13.50 |     True |   False |                            |              ABELL 3888 |       | ACT-CL J2234.4-3744 | PSZ2 G003.93-59.41 |                 |    A3888 |                   | 19.21 | 4.34 | 2.49 | 15.13 |
| ACT-CL J0303.3+0155 |                 ABELL 0409 |  45.83451 |   1.92257 | 0.153 | 175.78 |  3.87 |    False |    True |                            |              ABELL 0409 | 55634 | ACT-CL J0303.3+0155 |                    |                 |          |                   |  5.58 | 4.04 | 1.65 | 10.01 |
| ACT-CL J1540.1-0318 |                 ABELL 2104 | 235.04396 |  -3.31286 | 0.153 |   2.82 |  7.26 |     True |   False |                            |              ABELL 2104 |       | ACT-CL J1540.1-0318 | PSZ2 G002.82+39.23 |                 |          |                   | 10.43 | 4.10 | 2.03 | 12.32 |
| ACT-CL J2220.5-3509 |                 ABELL 3866 | 335.13299 | -35.16501 | 0.154 |   9.41 |  5.79 |    False |    True |                            |              ABELL 3866 |       | ACT-CL J2220.5-3509 | PSZ2 G009.45-56.93 |                 |          |                   |  8.33 | 4.06 | 1.89 | 11.36 |
| ACT-CL J0449.9-4440 |                 ABELL 3292 |  72.48802 | -44.67424 | 0.155 | 249.90 |  4.27 |    False |    True |                            |              ABELL 3292 | 88534 | ACT-CL J0449.9-4440 | PSZ2 G249.91-39.86 |                 |          | MCXC J0449.9-4440 |  6.15 | 4.04 | 1.70 | 10.22 |
| ACT-CL J0159.5-0005 |        ACT-CL J0159.5-0005 |  29.88333 |  -0.09578 | 0.155 | 156.90 |  2.03 |    False |   False |                            |                         |       | ACT-CL J0159.5-0005 |                    |                 |          |                   |  2.92 | 4.13 | 1.33 |  7.96 |
| ACT-CL J0528.2-2942 |                      77764 |  82.06074 | -29.71148 | 0.157 | 233.24 |  3.10 |    False |   False |                            |                         | 77764 | ACT-CL J0528.2-2942 | PSZ2 G233.25-30.01 |                 |          |                   |  4.47 | 4.06 | 1.53 |  9.09 |
| ACT-CL J2252.9-2133 |        ACT-CL J2252.9-2133 | 343.22747 | -21.56091 | 0.157 |  38.10 |  4.13 |    False |    True |                            |                         |       | ACT-CL J2252.9-2133 |                    |                 |          |                   |  5.95 | 4.04 | 1.68 | 10.00 |
| ACT-CL J1249.7+0145 |        ACT-CL J1249.7+0145 | 192.42767 |   1.75285 | 0.160 | 301.92 |  2.73 |    False |   False |                            |                         |       | ACT-CL J1249.7+0145 |                    |                 |          |                   |  3.93 | 4.07 | 1.46 |  8.58 |
| ACT-CL J1541.4+0101 |        ACT-CL J1541.4+0101 | 235.35155 |   1.02833 | 0.161 |   7.57 |  3.07 |    False |   False |                            |                         |       | ACT-CL J1541.4+0101 |                    |                 |          |                   |  4.42 | 4.06 | 1.52 |  8.88 |
| ACT-CL J2014.8-2430 |        ACT-CL J2014.8-2430 | 303.71168 | -24.50605 | 0.161 |  18.33 |  6.03 |    False |    True |                            |                         |       | ACT-CL J2014.8-2430 | PSZ2 G018.32-28.50 |                 |          |                   |  8.69 | 4.07 | 1.91 | 11.09 |
| ACT-CL J0348.3-3328 |                 ABELL 3169 |  57.09991 | -33.47083 | 0.161 | 233.50 |  2.78 |    False |   False |                            |              ABELL 3169 |       | ACT-CL J0348.3-3328 |                    |                 |          |                   |  4.01 | 4.07 | 1.47 |  8.56 |
| ACT-CL J2209.8-0500 |        ACT-CL J2209.8-0500 | 332.45278 |  -5.00556 | 0.161 |  55.49 |  3.06 |    False |   False |                            |                         |       | ACT-CL J2209.8-0500 |                    |                 |          |                   |  4.41 | 4.06 | 1.52 |  8.84 |
| ACT-CL J0056.0-3732 |                ABELL S0102 |  14.00823 | -37.54599 | 0.163 | 297.91 |  3.71 |    False |    True |                            |             ABELL S0102 |       | ACT-CL J0056.0-3732 |                    |                 |          |                   |  5.35 | 4.04 | 1.62 |  9.37 |
| ACT-CL J0158.4-0145 |                 ABELL 0286 |  29.60334 |  -1.76327 | 0.163 | 158.08 |  2.11 |    False |   False |                            |              ABELL 0286 | 55513 | ACT-CL J0158.4-0145 |                    |                 |          |                   |  3.02 | 4.12 | 1.34 |  7.72 |
| ACT-CL J0132.0-3450 |        ACT-CL J0132.0-3450 |  23.00531 | -34.84252 | 0.163 | 257.03 |  2.66 |    False |   False |                            |                         |       | ACT-CL J0132.0-3450 |                    |                 |          |                   |  3.84 | 4.07 | 1.45 |  8.34 |
