|               name |        ra |       dec |    z |  mass |                    CHANCES |       S-PLUS |
| PSZ2 G340.88-33.36 | 303.08392 | -56.81479 | 0.06 |  7.04 |                            |           NO |
| PSZ2 G072.79-18.73 | 320.59625 |  23.18670 | 0.14 |  6.17 |                            |           NO |
| PSZ2 G073.97-27.82 | 328.42333 |  17.69858 | 0.23 |  9.80 |                            |           NO |
| PSZ2 G088.83-12.99 | 328.98231 |  37.99958 | 0.29 |  7.83 |                            |           NO |
| PSZ2 G332.23-46.37 | 330.46907 | -59.93991 | 0.10 |  5.77 |                  Abell3827 | SPLUS-s46s36 |
| PSZ2 G057.25-45.34 | 332.93076 |  -3.82923 | 0.40 | 10.50 |                            | SPLUS-s04s07 |
| PSZ2 G083.29-31.03 | 337.12955 |  20.62205 | 0.41 |  8.27 |                            |           NO |
| PSZ2 G003.93-59.41 | 338.60809 | -37.74132 | 0.15 |  7.19 |                            | SPLUS-s29s59 |
| PSZ2 G056.93-55.08 | 340.83410 |  -9.59510 | 0.45 |  9.99 |                            | SPLUS-s08s13 |
| PSZ2 G349.46-59.95 | 342.21532 | -44.52599 | 0.35 | 11.36 |           RXC J2248.7-4431 | SPLUS-s34s56 |
| PSZ2 G008.31-64.74 | 344.67823 | -34.78825 | 0.31 |  7.75 |         PSZ1 G008.31-64.31 | SPLUS-s27s65 |
| PSZ2 G033.97-76.61 | 357.92736 | -26.09530 | 0.23 |  7.56 |                            | SPLUS-s20s51 |
