|                name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |                   Abell |               PSZ2 |
| ACT-CL J0034.9+0233 |    8.73847 |   2.56566 | 0.385 | 114.67 |  5.08 |    False |   False |               |                    |                         |                    |
| ACT-CL J0035.2-5456 |    8.82265 | -54.93342 | 0.336 | 307.88 |  3.01 |    False |   False |  SPLUS-s42s05 |                    |                         |                    |
| ACT-CL J0035.4-2015 |    8.86008 | -20.26255 | 0.352 |  94.03 |  9.98 |    False |    True |  SPLUS-s16s07 |                    |                         | PSZ2 G093.93-82.22 |
| ACT-CL J0035.8+0020 |    8.97500 |   0.34590 | 0.254 | 114.56 |  2.41 |    False |   False | STRIPE82_0014 |                    |                         |                    |
| ACT-CL J0036.3-3503 |    9.09994 | -35.05410 | 0.403 | 324.09 |  2.39 |    False |   False |  SPLUS-s27s07 |                    |                         |                    |
| ACT-CL J0036.7-2105 |    9.18220 | -21.08543 | 0.356 |  93.11 |  3.50 |    False |   False |  SPLUS-s17s07 |                    |                         |                    |
| ACT-CL J0038.3-0215 |    9.59431 |  -2.25100 | 0.416 | 115.21 |  2.39 |    False |   False |               |                    |                         |                    |
| ACT-CL J0040.5-5858 |   10.13207 | -58.97880 | 0.382 | 305.59 |  3.61 |    False |   False |  SPLUS-s46s05 |                    |                         |                    |
| ACT-CL J0040.8-4407 |   10.20687 | -44.13245 | 0.350 | 309.40 | 10.29 |    False |    True |  SPLUS-s34s06 |                    |                         | PSZ2 G309.43-72.86 |
| ACT-CL J0040.9-4428 |   10.24686 | -44.48031 | 0.349 | 309.15 |  6.22 |    False |    True |  SPLUS-s34s06 |                    |             ABELL S0067 |                    |
| ACT-CL J0041.1-3324 |   10.29061 | -33.40778 | 0.430 | 321.75 |  3.06 |    False |   False |  SPLUS-s26s07 |                    |                         |                    |
| ACT-CL J0041.4-3329 |   10.35409 | -33.48753 | 0.419 | 321.10 |  2.64 |    False |   False |  SPLUS-s26s07 |                    |                         |                    |
| ACT-CL J0042.1-2832 |   10.52881 | -28.53339 | 0.109 | 358.11 |  6.49 |     True |   False |  SPLUS-s22s08 |                    |              ABELL 2811 | PSZ2 G358.21-87.49 |
| ACT-CL J0042.4-3809 |   10.61596 | -38.15774 | 0.220 | 312.06 |  3.36 |    False |   False |  SPLUS-s30s07 |                    |              ABELL 2812 | PSZ2 G311.91-78.80 |
| ACT-CL J0043.3-2037 |   10.84800 | -20.62094 | 0.292 | 106.73 | 10.20 |    False |    True |  SPLUS-s16s09 |                    |              ABELL 2813 | PSZ2 G106.87-83.23 |
| ACT-CL J0044.4+0150 |   11.11671 |   1.83589 | 0.358 | 119.34 |  4.75 |    False |   False |               |                    |                         |                    |
| ACT-CL J0044.5-3201 |   11.12567 | -32.01921 | 0.405 | 319.64 |  3.44 |    False |   False |  SPLUS-s25s08 |                    |                         |                    |
| ACT-CL J0045.3-2923 |   11.34439 | -29.38894 | 0.256 | 333.13 |  3.22 |    False |   False |  SPLUS-s23s08 |                    |                         |                    |
| ACT-CL J0047.7-1033 |   11.93338 | -10.56667 | 0.185 | 119.74 |  3.62 |    False |   False |               |                    |                         |                    |
| ACT-CL J0047.9-3826 |   11.99578 | -38.44578 | 0.271 | 306.37 |  2.49 |    False |   False |  SPLUS-s30s08 |                    |              ABELL 2822 |                    |
| ACT-CL J0049.0-4729 |   12.25271 | -47.49269 | 0.391 | 304.11 |  2.72 |    False |   False |  SPLUS-s37s07 |                    |                         |                    |
| ACT-CL J0050.2-4741 |   12.55409 | -47.69665 | 0.390 | 303.52 |  3.31 |    False |   False |  SPLUS-s37s07 |                    |             ABELL S0086 |                    |
| ACT-CL J0050.5-1730 |   12.63333 | -17.51246 | 0.389 | 121.64 |  3.79 |    False |   False |  SPLUS-s14s10 |                    |                         |                    |
| ACT-CL J0051.1-4834 |   12.79027 | -48.58105 | 0.187 | 303.06 |  3.42 |    False |   False |  SPLUS-s38s07 |                    |              ABELL 2830 | PSZ2 G303.03-68.49 |
| ACT-CL J0051.8-0846 |   12.95420 |  -8.78333 | 0.191 | 123.23 |  2.46 |    False |   False |               |                    |                         |                    |
| ACT-CL J0052.5-5657 |   13.13855 | -56.95761 | 0.313 | 302.63 |  3.24 |    False |   False |  SPLUS-s44s06 |                    |                         |                    |
| ACT-CL J0052.5+0141 |   13.14717 |   1.69428 | 0.446 | 123.53 |  2.46 |    False |   False |               |                    |                         |                    |
