zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,r200,d200,N_SPLUS,f_SPLUS,S-PLUS,CHANCES,WINGS,Abell,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT
3,74556,ABELL 3429,149.84301,-24.9787,0.049,260.57,1.39,False,True,1.08,18.08,2,0.28,HYDRA_0021,,,ABELL 3429,,,,
3,93271105,A3395,96.80732,-54.49082,0.049,263.27,4.89,False,True,1.64,27.55,2,0.12,A3395_2021B,A3395,A3395,ABELL 3395,PSZ2 G263.19-25.19,A3395,A3395n,MCXC J0627.2-5428
3,79172,ABELL 3577,-151.61388,-27.88986,0.049,319.32,2.11,False,True,1.24,20.78,0,0.0,,,,ABELL 3577,,,,
3,52808,PSZ2 G257.51+57.54,170.40958,2.84169,0.049,257.58,2.65,False,True,1.33,22.37,6,0.55,SPLUS-n03n15,,,,PSZ2 G257.51+57.54,,,
4,80579,S0041,6.37851,-33.0449,0.05,344.81,4.34,False,True,1.57,26.04,9,0.61,S0041_need,S0041,,ABELL S0041,PSZ2 G344.99-81.88,,,
4,86315,ABELL S0721,-163.50583,-37.64239,0.05,306.11,3.55,False,True,1.47,24.28,0,0.0,,,,ABELL S0721,,,,
4,80613,A2717,0.8068,-35.92607,0.05,349.32,3.87,False,True,1.51,24.85,10,0.74,A2717_need,A2717,A2717,ABELL 2717,,,,
4,59809,59809,13.26181,-3.31594,0.05,123.93,1.4,False,True,1.08,17.66,0,0.0,,,,,,,,
4,93244637,ABELL S0922,-43.25065,-39.63121,0.05,2.75,1.46,False,True,1.09,17.88,4,0.57,SPLUS-s31s44,,,ABELL S0922,,,,
4,88823,ABELL S0547,86.92422,-47.40306,0.051,254.16,2.01,False,True,1.22,19.51,0,0.0,,,,ABELL S0547,,,,
4,93790,ABELL S0835,-60.36662,-52.67034,0.051,345.69,1.69,False,True,1.15,18.44,0,0.0,,,,ABELL S0835,,,,
4,93242911,ABELL S0721,-163.37051,-37.562,0.051,306.23,3.04,False,True,1.4,22.67,0,0.0,,,,ABELL S0721,,,,
4,95058,A3395,96.15501,-54.32505,0.051,263.0,2.23,False,True,1.26,20.43,2,0.22,A3395_2021B,A3395,,ABELL 3395,PSZ2 G263.19-25.19,A3395,A3395s,MCXC J0627.2-5428
4,93230112,S0041,6.37937,-33.01798,0.051,344.94,2.87,False,True,1.37,22.29,7,0.65,S0041_need,S0041,,ABELL S0041,PSZ2 G344.99-81.88,,,
4,86349,ABELL S0727,-159.82826,-41.03295,0.051,308.85,2.95,False,True,1.38,22.56,0,0.0,,,,ABELL S0727,,,,
4,93844,ABELL S0861,-55.30464,-52.705,0.051,345.83,4.76,False,True,1.62,26.35,0,0.0,,,,ABELL S0861,PSZ2 G345.82-34.29,,,
4,59810,59810,13.37699,-3.46976,0.052,124.22,2.89,False,True,1.37,21.92,0,0.0,,,,,,,,
4,96486,ABELL S0849,-57.73196,-54.37342,0.052,343.79,3.15,False,True,1.41,22.39,0,0.0,,,,ABELL S0849,,,,
4,86397,86397,-155.62876,-41.32934,0.052,312.15,2.67,False,True,1.34,21.17,0,0.0,,,,,,,,
4,78656,78656,156.30867,-26.59525,0.052,266.67,1.42,False,True,1.08,17.1,4,0.63,HYDRA_0034,,,,,,,
4,95101,PSZ2 G265.21-24.83,98.3592,-56.21471,0.053,265.33,1.58,False,True,1.12,17.4,0,0.0,,,,,PSZ2 G265.21-24.83,,,MCXC J0631.3-5610
4,68515,A0151,17.20479,-15.41234,0.053,142.83,4.1,False,True,1.54,23.85,4,0.32,A0151_SPLUS,A0151,A0151,ABELL 0151,PSZ2 G143.00-77.70,,,
4,84901,A3301,75.37919,-38.82643,0.053,242.62,1.81,False,True,1.17,18.22,3,0.41,A3301_main,A3301,,ABELL 3301,PSZ2 G242.41-37.40,,,
4,61873,ABELL 0979,155.00027,-7.88964,0.053,251.15,1.67,False,True,1.14,17.85,4,0.58,SPLUS-n07s04,,,ABELL 0979,,,,
4,92012,ABELL 3380,91.79487,-49.48532,0.053,257.12,1.86,False,True,1.18,18.48,0,0.0,,,,ABELL 3380,,,,MCXC J0607.0-4928
4,93271207,ABELL S0599,103.77351,-55.64304,0.053,265.56,2.02,False,True,1.22,19.13,0,0.0,,,,ABELL S0599,,,,
4,66274,66274,162.05665,-9.98217,0.053,259.89,1.55,False,True,1.11,17.39,4,0.61,SPLUS-n08s09,,,,,,,
4,61853,ABELL 0978,155.12434,-6.52065,0.054,250.0,2.44,False,True,1.3,19.95,4,0.46,SPLUS-n06s05,,,ABELL 0978,,,,
4,58066,58066,-145.55832,2.04068,0.054,346.09,1.82,False,True,1.17,18.04,4,0.56,SPLUS-n03n48,,,,,,,
4,68516,A0151,17.21825,-15.63427,0.054,143.22,2.46,False,True,1.3,19.94,3,0.35,A0151_SPLUS,A0151,,ABELL 0151,PSZ2 G143.00-77.70,,,
4,93241110,A3301,75.14084,-38.67012,0.054,242.4,2.52,False,True,1.31,19.98,3,0.34,A3301_main,A3301,,ABELL 3301,PSZ2 G242.41-37.40,,,
4,84897,A3301,75.19086,-38.68486,0.054,242.42,3.45,False,True,1.45,22.16,4,0.37,A3301_main,A3301,,ABELL 3301,PSZ2 G242.41-37.40,,,
4,87943,ABELL S0120,16.02276,-42.84223,0.054,294.45,1.71,False,True,1.15,17.49,4,0.6,SPLUS-s33s10,,,ABELL S0120,,,,
4,68512,68512,15.05564,-15.2971,0.055,133.17,2.74,False,True,1.35,20.44,2,0.22,SPLUS-s13s12,,,,,,,
4,64300,ABELL 0117,13.96669,-9.98395,0.055,126.63,1.63,False,True,1.13,17.07,0,0.0,,,,ABELL 0117,PSZ2 G126.72-72.82,,,
4,73376,PSZ2 G219.89-34.39,73.68798,-20.70638,0.056,220.38,3.49,False,True,1.46,21.69,0,0.0,,,,,PSZ2 G219.89-34.39,,,
4,93944,ABELL S0968,-33.63595,-51.612,0.056,344.79,2.28,False,True,1.27,18.65,4,0.53,SPLUS-s40s40,,,ABELL S0968,,,,
4,84067,ABELL S1157,-2.13681,-34.47595,0.057,359.52,1.89,False,True,1.19,17.21,5,0.77,SPLUS-s27s73,,,ABELL S1157,,,,
4,87774,ABELL S1111,-10.23329,-42.09974,0.057,348.49,2.4,False,True,1.29,18.76,4,0.52,SPLUS-s32s62,,,ABELL S1111,,ACOS1111,,
4,93170203,PSZ2 G113.02-64.68,8.65106,-2.16165,0.057,113.05,3.16,False,True,1.41,20.64,1,0.11,STRIPE82_0013,,,,PSZ2 G113.02-64.68,RXCJ0034.6-0208,,
4,64684,ABELL 0358,37.50731,-13.27455,0.057,186.81,1.79,False,True,1.17,17.11,0,0.0,,,,ABELL 0358,,,,
4,63763,A2415,-28.58566,-5.59461,0.058,53.97,5.65,False,True,1.71,24.75,8,0.6,SPLUS-s05s06,,A2415,ABELL 2415,PSZ2 G053.99-45.06,A2415,,
4,99149,ABELL S0927,-40.7884,-59.49832,0.058,335.93,3.51,False,True,1.46,21.04,4,0.41,SPLUS-s46s31,,,ABELL S0927,,,,
4,59360,59360,-22.78201,-0.01331,0.058,65.37,5.51,False,True,1.7,24.44,8,0.61,STRIPE82_0139,,,,,,,
4,93283002,ABELL S0927,-40.69255,-59.51056,0.058,335.89,2.28,False,True,1.27,18.16,3,0.42,SPLUS-s46s32,,,ABELL S0927,,,,
4,96490,A3651,-60.47062,-55.16389,0.058,342.78,2.53,False,True,1.31,18.78,1,0.13,A3651_2022B,A3651,,,,,,
4,59400,A2457,-21.07966,1.50616,0.058,68.67,5.26,False,True,1.67,23.94,3,0.24,STRIPE82_0142,,A2457,ABELL 2457,PSZ2 G068.61-46.60,,,
4,63788,A2399,-30.62511,-7.83683,0.058,49.78,3.3,False,True,1.43,20.42,6,0.66,A2399_in,A2399,A2399,ABELL 2399,,,,
