zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,CHANCES,Abell,CODEX,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
1,PSZ2 G342.62-39.60,ABELL 3718,313.97211,-54.91498,0.139,342.63,4.06,False,True,,ABELL 3718,96545,ACT-CL J2055.9-5456,PSZ2 G342.62-39.60,,,,5.85,4.04,1.68,11.08
1,PSZ2 G006.82-34.71,83570,307.71099,-35.56413,0.14,6.82,4.25,False,True,,,83570,,PSZ2 G006.82-34.71,,,,6.13,4.04,1.71,11.2
1,PSZ2 G276.09-41.53,ABELL 3230,62.66391,-63.74112,0.14,276.09,3.88,False,True,,ABELL 3230,97286,,PSZ2 G276.09-41.53,,,,5.59,4.04,1.66,10.85
1,PSZ2 G002.08-68.28,ABELL S1109,349.63243,-36.33256,0.14,2.09,3.82,False,True,,ABELL S1109,84026,ACT-CL J2318.4-3618,PSZ2 G002.08-68.28,,,,5.51,4.04,1.65,10.79
1,PSZ2 G042.81-82.97,ABELL 0022,5.17247,-25.71381,0.141,42.81,5.75,False,True,,ABELL 0022,76675,ACT-CL J0020.6-2543,PSZ2 G042.81-82.97,,,MCXC J0020.7-2542,8.28,4.05,1.89,12.28
1,PSZ2 G002.77-56.16,ABELL 3856,334.65947,-38.87941,0.141,2.78,5.95,False,True,,ABELL 3856,87617,ACT-CL J2218.6-3853,PSZ2 G002.77-56.16,,,,8.57,4.06,1.91,12.42
1,PSZ2 G272.16+33.47,ABELL 1146,165.30661,-22.72895,0.142,272.17,5.16,False,True,,ABELL 1146,74668,,PSZ2 G272.16+33.47,,,,7.43,4.04,1.82,11.81
1,PSZ2 G046.26-70.47,ABELL 2606,352.44707,-21.1699,0.143,46.27,4.07,False,True,,ABELL 2606,,,PSZ2 G046.26-70.47,,,,5.86,4.04,1.68,10.81
1,PSZ2 G312.63-66.40,ABELL 2777,6.8029,-50.26857,0.145,312.63,4.78,False,True,,ABELL 2777,91211,ACT-CL J0027.3-5014,PSZ2 G312.63-66.40,,,MCXC J0027.3-5015,6.89,4.04,1.78,11.28
1,PSZ2 G028.77-33.56,ABELL 2328,312.06145,-17.80897,0.147,28.78,6.09,False,True,,ABELL 2328,,,PSZ2 G028.77-33.56,,,,8.77,4.07,1.92,12.03
1,PSZ2 G236.92-26.65,ABELL 3364,86.90073,-31.87297,0.148,236.93,6.6,False,True,,ABELL 3364,81557,ACT-CL J0547.6-3152,PSZ2 G236.92-26.65,,,,9.5,4.08,1.97,12.3
1,PSZ2 G008.47-56.34,ABELL 3854,334.44364,-35.71557,0.149,8.47,6.46,False,True,,ABELL 3854,83922,ACT-CL J2217.7-3543,PSZ2 G008.47-56.34,,,,9.31,4.08,1.96,12.19
1,PSZ2 G015.75-28.66,PSZ2 G015.75-28.66,303.07718,-26.70543,0.149,15.75,4.4,False,True,,,,,PSZ2 G015.75-28.66,,,,6.34,4.04,1.72,10.7
2,PSZ2 G359.07-32.12,ABELL 3668,303.0189,-41.48688,0.15,359.07,6.37,False,True,,ABELL 3668,87290,ACT-CL J2011.9-4129,PSZ2 G359.07-32.12,,,,9.18,4.07,1.95,12.06
2,PSZ2 G249.91-39.86,ABELL 3292,72.44709,-44.68982,0.15,249.92,4.87,False,True,,ABELL 3292,88534,ACT-CL J0449.9-4440,PSZ2 G249.91-39.86,,,MCXC J0449.9-4440,7.01,4.04,1.78,10.99
2,PSZ2 G232.84+38.13,ABELL 0847,145.111,2.47193,0.151,232.85,4.63,False,True,,ABELL 0847,57043,,PSZ2 G232.84+38.13,,,,6.67,4.04,1.75,10.77
2,PSZ2 G053.63-41.84,ABELL 2389,328.54492,-4.00194,0.151,53.63,4.39,False,True,,ABELL 2389,63745,,PSZ2 G053.63-41.84,,,,6.33,4.04,1.72,10.58
2,PSZ2 G004.04+42.23,58293,233.27334,-0.67542,0.151,4.05,4.85,False,True,,,58293,,PSZ2 G004.04+42.23,,,,6.98,4.04,1.78,10.9
2,PSZ2 G254.90+33.92,66249,153.41402,-13.84736,0.152,254.9,4.29,False,True,,,66249,,PSZ2 G254.90+33.92,,,,6.19,4.04,1.71,10.45
2,PSZ2 G247.19-23.31,ABELL S0579,94.13412,-39.83285,0.152,247.19,5.5,False,True,,ABELL S0579,85242,ACT-CL J0616.5-3947,PSZ2 G247.19-23.31,,,,7.93,4.05,1.86,11.33
2,PSZ2 G003.91-42.03,ABELL 3740,316.46751,-38.75316,0.152,3.91,6.36,False,True,,ABELL 3740,,,PSZ2 G003.91-42.03,,,,9.17,4.07,1.95,11.88
2,PSZ2 G181.71-68.65,ABELL 0305,31.649,-14.88002,0.153,181.71,5.35,False,True,,ABELL 0305,68763,,PSZ2 G181.71-68.65,,,,7.71,4.05,1.84,11.16
2,PSZ2 G002.82+39.23,ABELL 2104,235.01518,-3.28514,0.153,2.83,7.74,False,True,,ABELL 2104,,ACT-CL J1540.1-0318,PSZ2 G002.82+39.23,,,,11.11,4.11,2.08,12.58
2,PSZ2 G256.24+34.83,ABELL 0976,154.88686,-13.92839,0.153,256.25,5.52,False,True,,ABELL 0976,66251,,PSZ2 G256.24+34.83,,,,7.95,4.05,1.86,11.29
2,PSZ2 G329.53-54.73,ABELL 3950,345.1035,-56.27688,0.153,329.54,4.33,False,True,,ABELL 3950,96813,ACT-CL J2300.0-5617,PSZ2 G329.53-54.73,,,,6.24,4.04,1.71,10.41
2,PSZ2 G244.71+32.50,ABELL 0868,146.38223,-8.64106,0.154,244.71,7.05,False,True,,ABELL 0868,66012,,PSZ2 G244.71+32.50,,,,10.15,4.09,2.01,12.19
2,PSZ2 G214.61-22.70,ABELL 0545,83.10173,-11.54308,0.154,214.61,7.28,False,True,,ABELL 0545,,,PSZ2 G214.61-22.70,,,MCXC J0532.3-1131,10.45,4.1,2.03,12.28
2,PSZ2 G262.95+45.74,61948,165.89668,-8.58646,0.154,262.96,4.48,False,True,,,61948,,PSZ2 G262.95+45.74,,,,6.46,4.04,1.73,10.46
2,PSZ2 G009.45-56.93,ABELL 3866,335.13356,-35.1376,0.154,9.46,5.42,False,True,,ABELL 3866,,ACT-CL J2220.5-3509,PSZ2 G009.45-56.93,,,,7.81,4.05,1.85,11.12
2,PSZ2 G280.17+47.83,ABELL 1391,177.44691,-12.29657,0.156,280.18,8.17,False,True,,ABELL 1391,66531,,PSZ2 G280.17+47.83,,,,11.73,4.13,2.11,12.64
2,PSZ2 G233.25-30.01,77764,82.08003,-29.71756,0.158,233.25,4.52,False,True,,,77764,ACT-CL J0528.2-2942,PSZ2 G233.25-30.01,,,,6.52,4.04,1.74,10.24
2,PSZ2 G209.17-80.38,ABELL 0214,23.55604,-26.09296,0.16,209.17,4.27,False,True,,ABELL 0214,,ACT-CL J0134.4-2606,PSZ2 G209.17-80.38,,,,6.15,4.04,1.7,9.97
2,PSZ2 G018.32-28.50,ACT-CL J2014.8-2430,303.70035,-24.51051,0.161,18.32,6.87,False,True,,,,ACT-CL J2014.8-2430,PSZ2 G018.32-28.50,,,,9.88,4.09,1.99,11.57
2,PSZ2 G247.97+33.52,Abell0901,148.98719,-10.02959,0.163,247.98,4.34,False,True,Abell0901,ABELL 0901,66116,,PSZ2 G247.97+33.52,,,,6.26,4.04,1.71,9.82
