|    name |      ra |     dec |     z | m200_listed | MergedCats | TargetLists | Jan25upload |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX3-LSDR10_idx | CODEX3-LSDR10 | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX3 |  m500 |  m200 |  c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200(deg) |
|   A3497 | 180.016 | -31.383 | 0.061 |         4.4 |       TRUE |        TRUE |       FALSE | 180.016,-31.383 |       40 | PSZ2 G290.19+30.16 |         -99 |                     |        -99 |                   |      108 | J1200.0-3124 |  DR10 |     NO |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      2.25 |           3.04 |    -1.00 |    -1.00 |      1.56 |           2.37 |       -1.00 |  3.04 |  4.38 |  4.08 | 1.02 | 14.03 |       0 |     54 |   4680 |      760 |       1.17 |
|   A3526 | 192.199 | -41.308 | 0.011 |         3.2 |      FALSE |       FALSE |       FALSE | 192.199,-41.308 |       42 | PSZ2 G302.41+21.60 |         -99 |                     |        -99 |                   |      116 | J1248.7-4118 |  DR10 |     NO |               -99 |               |          99 | MCXC J1248.7-4118 |           -99 |                    |     -99 |                 |           29 |    A3526 |         -99 |         |         -99 |         |           -99 |           |      1.32 |           1.79 |    -1.00 |    -1.00 |      1.62 |           2.45 |       -1.00 |  1.79 |  2.55 |  4.26 | 0.87 | 62.39 |       0 |   1541 |   7871 |     1328 |       5.20 |
|   A3565 | 204.019 | -34.225 | 0.013 |         2.1 |      FALSE |       FALSE |       FALSE | 204.019,-34.225 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  2.10 | -0.79 | 1.25 | 75.75 |       0 |   1994 |  20455 |     3078 |       6.31 |
|   A3571 | 206.868 | -32.849 | 0.039 |        10.1 |       TRUE |        TRUE |       FALSE | 206.868,-32.849 |       51 | PSZ2 G316.31+28.53 |         -99 |                     |        -99 |                   |      146 | J1347.4-3250 |  DR10 |     NO |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |           38 |    A3571 |         -99 |         |           8 |   A3571 |           -99 |           |      4.63 |           6.24 |    -1.00 |    -1.00 |      4.51 |           6.82 |       -1.00 |  6.24 |  9.02 |  4.03 | 1.31 | 27.38 |       0 |    209 |   1841 |     1076 |       2.28 |
|   A3574 | 207.278 | -30.326 | 0.016 |         3.1 |      FALSE |       FALSE |       FALSE | 207.278,-30.326 |      -99 |                    |         -99 |                     |        -99 |                   |      147 | J1349.3-3018 |  DR10 |     NO |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.30 |           0.46 |       -1.00 |  0.30 |  0.42 |  5.16 | 0.48 | 23.85 |       0 |    169 |   1236 |      475 |       1.99 |
|   A3581 | 211.867 | -27.015 | 0.023 |         2.4 |      FALSE |       FALSE |       FALSE | 211.867,-27.015 |      -99 |                    |         -99 |                     |        -99 |                   |      151 | J1407.4-2700 |  DR10 |     NO |               389 |      93223508 |         -99 |                   |           -99 |                    |     -99 |                 |           40 |    A3581 |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.08 |           1.64 |        2.42 |  2.42 |  3.47 |  4.15 | 0.96 | 33.38 |       0 |    294 |   2308 |      701 |       2.78 |
|   A3651 | 298.068 | -55.062 |  0.06 |         4.4 |       TRUE |        TRUE |        TRUE | 298.068,-55.062 |       60 | PSZ2 G342.82-30.48 |         -99 |                     |        -99 |                   |      179 | J1952.2-5503 |  DR10 |     NO |               514 |      93273308 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      3.24 |           4.38 |    -1.00 |    -1.00 |      1.47 |           2.23 |        3.79 |  3.79 |  5.46 |  4.05 | 1.10 | 15.35 |       0 |      0 |    717 |      441 |       1.28 |
|   A3667 | 303.112 | -56.816 | 0.053 |        10.3 |       TRUE |        TRUE |        TRUE | 303.112,-56.816 |       59 | PSZ2 G340.88-33.36 |           5 | ACT-CL J2012.4-5649 |         29 | SPT-CL J2012-5649 |      183 | J2012.5-5649 |  DR10 |     NO |               -99 |               |          25 | MCXC J2012.5-5649 |            27 | Abell 3667         |     -99 |                 |           55 |    A3667 |         -99 |         |           3 |   A3667 |           -99 |           |      7.04 |           9.49 |     5.67 |     4.46 |      5.17 |           7.82 |       -1.00 |  9.49 | 13.67 |  4.08 | 1.50 | 23.45 |       0 |      0 |   2310 |     1142 |       1.95 |
|   A3716 | 312.875 | -52.716 | 0.045 |         4.0 |       TRUE |        TRUE |       FALSE | 312.875,-52.716 |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |               -99 |               |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       -1.00 | -1.00 |  4.00 | -0.79 | 1.53 | 27.91 |       0 |    131 |   2876 |     1418 |       2.33 |
|   A3809 | 326.745 | -43.883 | 0.063 |         4.8 |       TRUE |        TRUE |        TRUE | 326.745,-43.883 |       66 | PSZ2 G356.04-49.50 |         -99 |                     |        -99 |                   |      202 | J2146.9-4354 |  DR10 |    YES |               464 |      93254410 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      1.67 |           2.25 |    -1.00 |    -1.00 |      1.73 |           2.61 |        3.70 |  3.70 |  5.33 |  4.05 | 1.09 | 14.53 |       0 |     36 |   1727 |      631 |       1.21 |
