|       Cluster Name | RA_J2000 | Dec_J2000 |     z | Gal_Long | Gal_Lat |    Lx | VST | AAOzs |     DECam |         SPLUS |                      SPLUS comments |                                                   Comments |          coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | MCXC_idx |         MCXC | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_MCXC | m500_MCXC_corr |  m500 |  m200 | c200 | r200 |   d200 |  Nspec | Nspec_z |
|              A0496 |    68.41 |   -13.259 | 0.032 |  209.585 | -36.485 | 2.054 |   N |     0 |       DR9 |            NO |  Cristobal Sifón SPLUS 2022B target |                                           LoVoCCS HIFLUGCS |   68.41,-13.259 |      942 | PSZ2 G209.54-36.50 |         -99 |                     |      334 | J0433.6-1315 |         -99 |                   |           -99 |                    |     -99 |                      |      2.71 |           3.66 |    -1.00 |      2.91 |           4.41 |  3.66 |  5.27 | 4.06 | 1.69 |  42.55 |  23789 |    2095 |
|              A3301 |   75.194 |   -38.678 | 0.054 |  242.415 | -37.413 | 0.527 |   N |     0 |       DR9 | SPLUS partial | Partially outside SPLUS main survey |                                                            |  75.194,-38.678 |     1097 | PSZ2 G242.41-37.40 |         -99 |                     |      359 | J0500.7-3840 |         -99 |                   |           -99 |                    |     -99 |                      |      1.75 |           2.37 |    -1.00 |      1.27 |           1.92 |  2.37 |  3.40 | 4.14 | 1.45 |  22.20 |   1136 |     473 |
|              A0536 |    76.91 |    -9.257 |  0.04 |  209.477 | -27.212 | 0.196 |   N |     0 |      DR10 |            NO |  Cristobal Sifón SPLUS 2022B target |                                                            |    76.91,-9.257 |      -99 |                    |        1716 | ACT-CL J0507.6-0915 |      368 | J0507.7-0915 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |     7.30 |      0.70 |           1.07 |  7.30 | 10.52 | 4.04 | 2.12 |  43.15 |  31601 |    1630 |
|              S0560 |   90.201 |   -58.587 | 0.037 |  267.223 | -29.393 |   0.0 |   N |     0 |       DR9 |            NO |  Cristobal Sifón SPLUS 2022B target |                                                            |  90.201,-58.587 |      -99 |                    |        1852 | ACT-CL J0600.7-5836 |      417 | J0600.8-5835 |          74 | MCXC J0600.8-5835 |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |     5.67 |      0.43 |           0.65 |  5.67 |  8.19 | 4.03 | 1.95 |  42.80 |   3530 |     906 |
|              A3391 |   96.595 |   -53.697 | 0.051 |  262.377 | -25.148 | 1.261 |   N |    85 |       DR9 |        2021B? |       Yara Jaffe SPLUS 2022B target |                                           MeerKAT HIFLUGCS |  96.595,-53.697 |     1208 | PSZ2 G262.36-25.15 |         -99 |                     |      435 | J0626.3-5341 |          79 | MCXC J0626.3-5341 |           -99 |                    |     -99 |                      |      2.82 |           3.80 |    -1.00 |      2.16 |           3.27 |  3.80 |  5.48 | 4.05 | 1.70 |  27.49 |   3098 |    1411 |
|              A3392 |   97.784 |   -35.489 | 0.055 |  243.456 | -19.963 | 0.841 |   N |     0 | DR10 edge |            NO |  Cristobal Sifón SPLUS 2022B target |                                                            |  97.784,-35.489 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.46 | 1.08 |  16.29 |    646 |     332 |
| PSZ2 G272.11-11.50 |  125.188 |   -57.134 | 0.061 |   272.11 |   -11.5 |   0.0 |   N |     0 |        NO | SPLUS not obs |  10 SPLUS-main tiles need observing |                                                            | 125.188,-57.134 |     1267 | PSZ2 G272.11-11.50 |         -99 |                     |      520 | J0820.9-5704 |          91 | MCXC J0820.9-5704 |            90 | J0820.9-5704       |     -99 |                      |      2.48 |           3.35 |    -1.00 |      1.69 |           2.56 |  3.35 |  4.82 | 4.07 | 1.62 |  22.22 |    779 |     479 |
| PSZ2 G280.21+14.57 |  162.217 |    -43.83 | 0.058 |  280.214 |   14.57 |   0.0 |   N |     0 |        NO |     SPLUS obs |                                     |                                                            |  162.217,-43.83 |      -99 |                    |         -99 |                     |      -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |     -1.00 |          -1.00 | -1.00 |  1.41 | 4.45 | 1.08 |  15.48 |    477 |     205 |
|              A1520 |  184.832 |    -13.26 | 0.068 |  291.007 |  48.867 | 0.821 |   N |     0 |      DR10 | SPLUS partial |   2 SPLUS-main tiles need observing |                                                            |  184.832,-13.26 |      -99 |                    |         -99 |                     |      860 | J1219.3-1315 |         -99 |                   |           -99 |                    |     -99 |                      |     -1.00 |          -1.00 |    -1.00 |      1.87 |           2.83 |  2.83 |  4.08 | 4.09 | 1.53 |  18.96 |   1392 |     514 |
|              A3571 |  206.868 |   -32.849 | 0.039 |  316.319 |  28.561 | 4.206 |   N |     0 |      DR10 |            NO |                                     |                                           LoVoCCS HIFLUGCS | 206.868,-32.849 |     1491 | PSZ2 G316.31+28.53 |         -99 |                     |     1047 | J1347.4-3250 |         -99 |                   |           -99 |                    |     -99 |                      |      4.63 |           6.24 |    -1.00 |      4.51 |           6.82 |  6.24 |  9.02 | 4.03 | 2.01 |  42.01 |   5626 |    2930 |
