Cluster Name,RA_J2000,Dec_J2000,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA,DECam,SPLUS,Comments,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,MCXC_idx,MCXC,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_MCXC,m500_MCXC_corr,m500,m200,c200,r200,d200,Nspec,Nspec_z
Abell0907,149.592,-11.059,0.167,249.368,33.268,PSZ2 G249.38+33.26,5.406,Outside ACT,0,,HiLx,DR10,,MUSE,"149.592,-11.059",1130,-99,,627,J0958.3-1103,-99,,-99,,-99,,5.41,7.29,-1.00,5.03,7.61,7.29,10.47,4.11,2.03,11.44,132,44
ZwCl 1021.0+0426,155.915,4.186,0.291,239.403,47.96,PSZ2 G239.43+47.95,6.525,J1023.6+0411,2199,12.011,HiLx,DR9,SPLUS obs,,"155.915,4.186",1078,2198,ACT-CL J1023.6+0411,674,J1023.6+0411,-99,,-99,,-99,,6.53,8.80,12.01,9.71,14.70,12.01,16.98,4.47,2.27,8.42,1924,94
Abell1451,180.821,-21.523,0.199,288.266,39.974,PSZ2 G288.27+39.97,7.162,Outside ACT,0,,HiLx,DR10,SPLUS obs,,"180.821,-21.523",1354,-99,,827,J1203.2-2131,-99,,-99,,-99,,7.16,9.66,-1.00,5.62,8.50,9.66,13.81,4.22,2.20,10.78,410,188
RXC J1212.3-1816,183.079,-18.279,0.269,290.059,43.613,,0.0,Outside ACT,0,,HiLx,DR10,SPLUS obs,,"183.079,-18.279",-99,-99,,848,J1212.3-1816,-99,,-99,,-99,,-1.00,-1.00,-1.00,4.83,7.31,7.31,10.47,4.19,1.95,7.64,78,8
Abell1689,197.875,-1.335,0.1832,313.361,61.129,PSZ2 G313.33+61.13,8.769,J1311.5-0119,2676,14.062,HiLx,DR9,SPLUS obs,WAVES,"197.875,-1.335",1477,2675,ACT-CL J1311.5-0119,964,J1311.5-0120,-99,,-99,,-99,,8.77,11.83,14.06,8.39,12.70,14.06,19.95,4.41,2.50,13.09,6588,1171
Abell1835,210.218,2.878,0.252,340.366,60.582,PSZ2 G340.36+60.58,9.75,J1401.0+0252,2854,15.231,HiLx,DR9,SPLUS obs,WAVES,"210.218,2.878",1588,2853,ACT-CL J1401.0+0252,1071,J1401.0+0252,-99,,-99,,-99,,9.75,13.15,15.23,10.50,15.89,15.23,21.40,4.59,2.49,10.23,2621,366
RXC J1504.1-0248,226.031,-2.804,0.215,355.076,46.199,PSZ2 G355.07+46.20,6.666,J1504.1-0248,3062,11.274,HiLx,DR9,,MUSE,"226.031,-2.804",1633,3061,ACT-CL J1504.1-0248,1149,J1504.1-0248,-99,,-99,,-99,,6.67,8.99,11.27,12.47,18.88,11.27,16.04,4.32,2.29,10.61,1601,110
PSZ2 G304.84-41.40,7.034,-75.635,0.41,304.856,-41.406,PSZ2 G304.84-41.40,7.646,Outside ACT,0,,SMC,DR10,,MUSE,"7.034,-75.635",1432,-99,,-99,,-99,,-99,,-99,,7.65,10.31,-1.00,-1.00,-1.00,10.31,14.54,4.55,2.06,6.11,51,2
PSZ2 G271.53-56.57,41.369,-53.042,0.3,271.539,-56.571,PSZ2 G271.53-56.57,6.775,J0245.5-5302,1115,10.655,VHS,DR9,SPLUS obs,MeerKAT MUSE,"41.369,-53.042",1262,1114,ACT-CL J0245.5-5302,-99,,27,PSZ1 G271.48-56.5,30,Abell S295,-99,,6.78,9.14,10.65,-1.00,-1.00,10.65,15.11,4.40,2.18,7.90,300,37
PSZ2 G223.93-60.10,46.753,-28.684,0.2537,223.936,-60.107,PSZ2 G223.93-60.10,6.96,J0307.0-2840,1245,8.601,VHS,DR9,,Abell 3088 MUSE,"46.753,-28.684",1000,1244,ACT-CL J0307.0-2840,246,J0307.0-2840,-99,,-99,,-99,,6.96,9.39,8.60,5.21,7.88,8.60,12.28,4.23,2.07,8.45,654,73
Abell3112,49.495,-44.236,0.075,252.929,-56.077,PSZ2 G252.99-56.09,2.927,J0317.9-4420,1296,2.714,VHS,DR9,SPLUS obs,SPLUS,"49.495,-44.236",1154,-99,,254,J0317.9-4414,55,MCXC J0317.9-4414,-99,,-99,,2.93,3.95,-1.00,4.39,6.65,3.95,5.69,4.04,1.71,19.32,1777,996
PSZ2 G195.75-24.32,73.527,2.962,0.203,195.758,-24.321,PSZ2 G195.75-24.32,7.8,J0454.1+0255,1674,9.044,VHS,DR10,,Abell520 MUSE,"73.527,2.962",895,1673,ACT-CL J0454.1+0255,353,J0454.1+0255,-99,,-99,,-99,,7.80,10.52,9.04,6.44,9.74,9.04,12.95,4.20,2.15,10.37,3214,1062
