|               name |      ra |     dec |     z |   MSZ |                                 coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | CODEX_idx |  CODEX | DECam | MCXC_idx |         MCXC | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |    XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx |    CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  m200 | c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
| PSZ2 G050.06-27.32 | 314.731 |   1.356 | 0.334 |  6.60 |  314.73121744508603,1.3563280768620698 |       64 | PSZ2 G050.06-27.32 |         857 | ACT-CL J2058.9+0122 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              804 |       112976 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      6.60 |           8.90 |     7.82 |    -1.00 |     -1.00 |          -1.00 |       4.83 |  7.82 | 11.16 | 4.28 | 1.94 |  6.56 |      73 |     30 |   1366 |      129 |  0.55 |
| PSZ2 G052.35-31.98 | 319.738 |   0.544 | 0.265 |  4.59 |   319.7375191976786,0.5438781702658372 |       65 | PSZ2 G052.35-31.98 |         -99 |                     |        -99 |                   |       598 |  59135 |  DR10 |      -99 |              |    YES |              836 |       113077 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.59 |           6.19 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       3.95 |  6.19 |  8.89 | 4.14 | 1.85 |  7.32 |     124 |     45 |   2925 |      355 |  0.61 |
| PSZ2 G053.44-36.25 | 323.799 |  -1.045 | 0.330 |  7.45 |  323.7991586718976,-1.0448463852524306 |       66 | PSZ2 G053.44-36.25 |         885 | ACT-CL J2135.1-0103 |        -99 |                   |      1246 |  59236 |  DR10 |      -99 |              |    YES |              873 |       113168 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      7.45 |          10.06 |     5.36 |    -1.00 |     -1.00 |          -1.00 |      10.19 |  5.36 |  7.70 | 4.14 | 1.72 |  5.85 |      77 |     16 |   2181 |      307 |  0.49 |
| PSZ2 G053.88-64.60 | 348.237 | -15.988 | 0.262 |  4.97 |  348.2366744873344,-15.987518581480506 |       69 | PSZ2 G053.88-64.60 |        1014 | ACT-CL J2312.9-1600 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.97 |           6.71 |     7.61 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  7.61 | 10.89 | 4.20 | 1.98 |  7.91 |       0 |     22 |   1086 |      350 |  0.66 |
| PSZ2 G054.95-33.39 | 322.118 |   1.587 | 0.392 |  7.32 |   322.11802830805044,1.587434920435418 |       70 | PSZ2 G054.95-33.39 |         877 | ACT-CL J2128.4+0136 |        -99 |                   |      1206 |  59206 |  DR10 |      -99 |              |    YES |              769 |       113139 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      7.32 |           9.88 |     7.37 |    -1.00 |     -1.00 |          -1.00 |       8.16 |  7.37 | 10.49 | 4.32 | 1.86 |  5.67 |      78 |     21 |   1636 |      195 |  0.47 |
| PSZ2 G055.95-34.89 | 323.826 |   1.410 | 0.231 |  6.73 |   323.8259983544232,1.4104545372692232 |       71 | PSZ2 G055.95-34.89 |         886 | ACT-CL J2135.2+0125 |        -99 |                   |      1103 | 246907 |  DR10 |      456 | J2135.2+0125 |    YES |              807 |       113140 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      6.73 |           9.08 |     7.29 |    -1.00 |      2.51 |           3.80 |       9.04 |  7.29 | 10.45 | 4.16 | 1.98 |  8.66 |     166 |     36 |   4700 |      466 |  0.72 |
| PSZ2 G056.93-55.08 | 340.834 |  -9.595 | 0.447 |  9.99 |  340.83409709701294,-9.595095041455306 |       72 | PSZ2 G056.93-55.08 |         966 | ACT-CL J2243.3-0935 |        -99 |                   |      1284 | 254023 |  DR10 |      510 | J2243.3-0935 |    YES |             1081 |       120989 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      9.99 |          13.48 |    12.75 |    -1.00 |     17.40 |          26.34 |      14.18 | 12.75 | 17.81 | 4.80 | 2.17 |  6.12 |     108 |     11 |    722 |       78 |  0.51 |
| PSZ2 G057.08-74.45 | 357.783 | -19.983 | 0.248 |  4.71 |  357.78259648977064,-19.98250139020178 |       73 | PSZ2 G057.08-74.45 |        1089 | ACT-CL J2351.1-1957 |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |              -99 |              |          40 |  RXC J2351.0-1954 |            54 | RXC J2351.0-1954   |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.71 |           6.35 |     3.28 |    -1.00 |     -1.00 |          -1.00 |      -1.00 |  3.28 |  4.72 | 4.04 | 1.51 |  6.26 |       0 |     14 |    642 |      250 |  0.52 |
|   RXC J2211.7-0350 | 332.931 |  -3.829 | 0.397 | 10.50 | 332.93076461601385,-3.8292289495907945 |       74 | PSZ2 G057.25-45.34 |         923 | ACT-CL J2211.7-0349 |        -99 |                   |      1283 | 250597 |  DR10 |      480 | J2211.7-0349 |    YES |              935 |       117239 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |     10.50 |          14.17 |    17.34 |    -1.00 |     18.10 |          27.40 |      15.10 | 17.34 | 23.98 | 5.03 | 2.45 |  7.39 |     108 |     13 |    842 |       35 |  0.62 |
| PSZ2 G059.81-39.09 | 329.038 |   1.421 | 0.224 |  4.99 |   329.0382714483243,1.4209953869686989 |       76 | PSZ2 G059.81-39.09 |         905 | ACT-CL J2156.1+0123 |        -99 |                   |       938 |  59289 |  DR10 |      -99 |              |    YES |              808 |       113213 |         -99 |                   |           -99 |                    |     -99 |        |          -99 |          |         -99 |         |         -99 |         |           -99 |              |      4.99 |           6.73 |     6.30 |    -1.00 |     -1.00 |          -1.00 |       6.26 |  6.30 |  9.05 | 4.11 | 1.89 |  8.47 |     171 |     36 |   4183 |      885 |  0.71 |
