name,ra,dec,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA**,DECam,SPLUS,Comments,Complete sample,Low-mass sample,Below low-mass,Missing altogether,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,S-PLUS,CODEX-DECALS_idx,CODEX-DECALS,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200
PSZ2 G284.97-23.69,110.839,-73.439,0.39,284.978,-23.694,PSZ2 G284.97-23.69,8.393,outside ACT,0,,GCAV,DR10,,"SMACS J0723.3-7327, MUSE JWST",,,,,"110.839,-73.439",303,-99,,-99,,-99,,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.39,11.32,-1.00,-1.00,-1.00,-1.00,-1.00,11.32,15.91,4.59,2.14,6.54,0,0,109,28,0.54
Abell0901,149.11,-10.07,0.163,248.112,33.591,,3.22,Outside ACT,0,,HiLx,DR10,,,,,"PSZ, CODEX",ACT,"149.11,-10.07",-99,-99,,-99,,254,J0956.4-1004,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,5.23,7.92,-1.00,7.92,11.37,4.13,2.09,12.01,0,70,185,71,1.00
Abell0907,149.592,-11.059,0.167,249.368,33.268,PSZ2 G249.38+33.26,5.406,Outside ACT,0,,HiLx,DR10,,MUSE,,,,,"149.592,-11.059",211,-99,,-99,,256,J0958.3-1103,YES,1098,119260,-99,,-99,,-99,,-99,,-99,,-99,,-99,,5.41,7.29,-1.00,-1.00,5.03,7.61,11.55,7.29,10.47,4.11,2.03,11.44,0,63,132,44,0.95
ZwCl 1021.0+0426,155.915,4.186,0.291,239.403,47.96,PSZ2 G239.43+47.95,6.525,J1023.6+0411,2199,12.011,HiLx,DR9,SPLUS obs,,,,,,"155.915,4.186",185,682,ACT-CL J1023.6+0411,-99,,264,J1023.6+0411,YES,679,107310,-99,,-99,,-99,,-99,,-99,,-99,,-99,,6.53,8.80,12.01,-1.00,9.71,14.70,20.36,12.01,16.98,4.47,2.27,8.42,155,37,1924,94,0.70
Abell3444,155.962,-27.259,0.2542,266.827,25.078,PSZ2 G266.83+25.08,7.258,Outside ACT,0,,P109,DR10,SPLUS obs,MUSE,,,,,"155.962,-27.259",266,-99,,-99,,265,J1023.8-2715,YES,1415,130222,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.37,9.94,-1.00,-1.00,7.71,11.67,17.32,9.94,14.14,4.30,2.17,8.84,0,40,158,17,0.74
PSZ2 G266.83+25.08,155.962,-27.258,0.2542,266.827,25.078,PSZ2 G266.83+25.08,7.367,Outside ACT,0,,VHS,DR10,SPLUS obs,,,,,,"155.962,-27.258",266,-99,,-99,,265,J1023.8-2715,YES,1415,130222,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.37,9.94,-1.00,-1.00,7.71,11.67,17.32,9.94,14.14,4.30,2.17,8.84,0,40,159,17,0.74
MACS J1115.9+0129,168.967,1.498,0.352,257.114,55.626,PSZ2 G257.09+55.61,6.864,J1115.8+0129,2335,9.796,P109,DR9,SPLUS obs,WAVES CLASH-VLT MUSE,,"ACT, PSZ, CODEX",,,"168.967,1.498",242,697,ACT-CL J1115.8+0129,-99,,278,J1115.8+0129,YES,795,111630,-99,,-99,,-99,,-99,,-99,,-99,,5,MACSJ1115+01,6.86,9.26,9.80,-1.00,7.27,11.00,14.63,9.80,13.88,4.42,2.08,6.76,96,23,1831,204,0.56
Abell1300,172.977,-19.928,0.306,278.582,39.154,PSZ2 G278.58+39.16,8.97,outside ACT,0,,GCAV,DR10,SPLUS obs,MUSE Foex+2017 Golovich+2019,PSZ,CODEX,,ACT,"172.977,-19.928",292,-99,,-99,,283,J1131.9-1955,YES,1250,126825,-99,,-99,,-99,,-99,,-99,,-99,,-99,,8.97,12.10,-1.00,-1.00,7.60,11.50,14.81,12.10,17.09,4.50,2.26,8.10,0,17,393,315,0.67
PSZ2 G286.98+32.90,177.705,-28.077,0.39,286.985,32.911,PSZ2 G286.98+32.90,14.692,outside ACT,0,,GCAV,DR10,,Golovich+2019,PSZ,,,"ACT, CODEX","177.705,-28.077",311,-99,,-99,,-99,,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,14.69,19.82,-1.00,-1.00,-1.00,-1.00,-1.00,19.82,27.25,5.18,2.56,7.82,0,37,1051,263,0.65
Abell1451,180.821,-21.523,0.199,288.266,39.974,PSZ2 G288.27+39.97,7.162,Outside ACT,0,,HiLx,DR10,SPLUS obs,,,,,,"180.821,-21.523",320,-99,,-99,,295,J1203.2-2131,YES,1313,126904,-99,,-99,,-99,,-99,,-99,,-99,,-99,,7.16,9.66,-1.00,-1.00,5.62,8.50,11.13,9.66,13.81,4.22,2.20,10.78,0,56,410,188,0.90
