|               name |      ra |     dec |     z |  MSZ |                                 coords | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | CODEX_idx |  CODEX | DECam | MCXC_idx |         MCXC | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |                  XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx |         LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX | m500 |  m200 | c200 | r200 |  d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
|              A3158 |  55.696 | -53.611 | 0.059 | 4.22 |  55.695559374854646,-53.61088635037759 |       31 | PSZ2 G265.02-48.96 |           2 | ACT-CL J0342.9-5337 |        -99 |                   |       -99 |        |  DR10 |       47 | J0342.8-5338 |    YES |             1769 |       141241 |          58 | MCXC J0342.8-5338 |            68 | J0342.8-5338       |     -99 |                      |           12 |    A3158 |         -99 |         |          19 |           A3158 |           -99 |           |      4.22 |           5.70 |     4.53 |    -1.00 |      3.65 |           5.53 |       9.08 | 4.53 |  6.53 | 4.03 | 1.80 | 25.37 |       0 |     29 |   3813 |     2215 |  2.11 |
| PSZ2 G265.21-24.83 |  98.071 | -56.147 | 0.054 | 1.84 |   98.07116812469413,-56.14742451022575 |       32 | PSZ2 G265.21-24.83 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.84 |           2.48 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | 2.48 |  3.56 | 4.13 | 1.47 | 22.54 |       0 |      0 |   1652 |      847 |  1.88 |
|              A3164 |  56.431 | -56.970 | 0.057 | 1.53 |  56.43145077159064,-56.970250299156305 |       33 | PSZ2 G269.36-47.20 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |    YES |             1818 |       143833 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.53 |           2.07 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |       2.44 | 2.07 |  2.96 | 4.18 | 1.38 | 20.14 |       0 |      0 |   1193 |      534 |  1.68 |
|              A3266 |  67.809 | -61.407 | 0.059 | 6.64 |  67.80918356824507,-61.406960104394685 |       35 | PSZ2 G272.08-40.16 |         -99 |                     |         12 | SPT-CL J0431-6126 |       -99 |        |  DR10 |       56 | J0431.4-6126 |     NO |             1844 |       146114 |          63 | MCXC J0431.4-6126 |            75 | J0431.4-6126       |     -99 |                      |           16 |    A3266 |         -99 |         |           5 |           A3266 |           -99 |           |      6.64 |           8.95 |    -1.00 |     4.44 |      4.56 |           6.90 |      11.30 | 4.44 |  6.41 | 4.03 | 1.78 | 25.25 |       0 |      0 |   3166 |     1805 |  2.10 |
|              A3490 | 176.320 | -34.443 | 0.070 | 2.58 |  176.32041237173726,-34.44277161701303 |       39 | PSZ2 G287.72+26.46 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      107 | J1145.3-3425 |     NO |             1525 |       133565 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      2.58 |           3.48 |    -1.00 |    -1.00 |      1.64 |           2.48 |       3.46 | 3.48 |  5.01 | 4.06 | 1.64 | 19.84 |       0 |    125 |   8802 |     1704 |  1.65 |
|              A3497 | 179.953 | -31.427 | 0.068 | 2.25 |  179.9528675736818,-31.426734604401172 |       40 | PSZ2 G290.19+30.16 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      108 | J1200.0-3124 |     NO |             1490 |       133582 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      2.25 |           3.04 |    -1.00 |    -1.00 |      1.56 |           2.37 |       3.01 | 3.04 |  4.38 | 4.08 | 1.57 | 19.28 |       0 |    101 |   8314 |     1463 |  1.61 |
|              A2877 |  17.468 | -45.924 | 0.024 | 1.14 | 17.467979756577275,-45.924199702635754 |       41 | PSZ2 G293.12-70.85 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |       14 | J0110.0-4555 |    YES |             1691 |       138224 |         -99 |                   |           -99 |                    |      15 |              IC 1633 |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.14 |           1.54 |    -1.00 |    -1.00 |      0.71 |           1.08 |       2.21 | 1.54 |  2.20 | 4.31 | 1.26 | 42.40 |       0 |    636 |   7230 |     1039 |  3.53 |
|              A3526 | 192.217 | -41.265 | 0.011 | 1.32 |  192.21702523931813,-41.26527252993852 |       42 | PSZ2 G302.41+21.60 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      116 | J1248.7-4118 |     NO |              -99 |              |          99 | MCXC J1248.7-4118 |           -99 |                    |     -99 |                      |           29 |    A3526 |         -99 |         |         -99 |                 |           -99 |           |      1.32 |           1.79 |    -1.00 |    -1.00 |      1.62 |           2.45 |      -1.00 | 1.79 |  2.55 | 4.26 | 1.33 | 92.03 |       0 |   3181 |  17517 |     2208 |  7.67 |
| PSZ2 G302.49+21.53 | 192.314 | -41.330 | 0.011 | 1.27 |  192.31389141800878,-41.33034923015389 |       43 | PSZ2 G302.49+21.53 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      -99 |              |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.27 |           1.71 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | 1.71 |  2.44 | 4.28 | 1.31 | 90.64 |       0 |   3078 |  16610 |     2170 |  7.55 |
| PSZ2 G303.56+47.54 | 193.303 | -15.322 | 0.046 | 1.70 |  193.3025709007155,-15.321988100315563 |       44 | PSZ2 G303.56+47.54 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      119 | J1253.2-1522 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |         -99 |                 |           -99 |           |      1.70 |           2.30 |    -1.00 |    -1.00 |      0.98 |           1.49 |      -1.00 | 2.30 |  3.29 | 4.16 | 1.44 | 25.51 |       0 |    225 |   2830 |     1272 |  2.13 |
| PSZ2 G303.75+33.70 | 193.642 | -29.162 | 0.054 | 2.87 | 193.64236498226424,-29.162098860579142 |       45 | PSZ2 G303.75+33.70 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      121 | J1254.6-2913 |     NO |             1448 |       130555 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |          91 |           A3528 |           -99 |           |      2.87 |           3.87 |    -1.00 |    -1.00 |      2.08 |           3.15 |       3.79 | 3.87 |  5.58 | 4.05 | 1.71 | 26.00 |       0 |    252 |   4353 |     2083 |  2.17 |
|              A3532 | 194.341 | -30.367 | 0.055 | 3.45 | 194.34109091302153,-30.366934594890264 |       46 | PSZ2 G304.44+32.48 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      127 | J1257.2-3022 |     NO |             1491 |       130567 |         -99 |                   |           -99 |                    |     -99 |                      |          -99 |          |         -99 |         |          73 |           A3532 |           -99 |           |      3.45 |           4.66 |    -1.00 |    -1.00 |      2.34 |           3.53 |       4.31 | 4.66 |  6.72 | 4.03 | 1.82 | 27.19 |       0 |    238 |   4669 |     2345 |  2.27 |
|              A1644 | 194.318 | -17.411 | 0.047 | 3.69 |  194.3178770654811,-17.410816986879137 |       47 | PSZ2 G304.91+45.43 |         -99 |                     |        -99 |                   |       -99 |        |  DR10 |      125 | J1257.1-1724 |    YES |             1241 |       123337 |         -99 |                   |           -99 |                    |      13 |           Abell 1644 |           30 |    A1644 |         -99 |         |          35 |           A1644 |           -99 |           |      3.69 |           4.98 |    -1.00 |    -1.00 |      2.93 |           4.43 |       5.96 | 4.98 |  7.18 | 4.03 | 1.86 | 32.33 |       0 |    365 |   3747 |     1863 |  2.69 |
