| Cluster Name | RA_J2000 | Dec_J2000 |      z |  m200 | MergedCats | TargetLists | Jan25upload | PSZ2_idx |               PSZ2 | ACT-DR5_idx |             ACT-DR5 | SPT-SZ_idx |            SPT-SZ | MCXC_idx |         MCXC | DECam | S-PLUS | CODEX-DECALS_idx | CODEX-DECALS | MeerKAT_idx |           MeerKAT | MKDiffuse_idx |          MKDiffuse | XMM_idx |             XMM | HIFLUGCS_idx | HIFLUGCS | MENeaCS_idx | MENeaCS | LoVoCCS_idx | LoVoCCS | CLASH-VLT_idx | CLASH-VLT | m500_PSZ2 | m500_PSZ2_corr | m500_ACT | m500_SPT | m500_MCXC | m500_MCXC_corr | m500_CODEX |  m500 |  c200 |  r200 |   d200 | N_first | N_tgss | N_spec | N_spec_z | 5d200 |
|        A3497 |  180.016 |   -31.383 |  0.068 |  4.33 |       True |        True |       False |       40 | PSZ2 G290.19+30.16 |         -99 |                     |        -99 |                   |      108 | J1200.0-3124 |  DR10 |     NO |             1490 |       133582 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |      2.25 |           3.04 |    -1.00 |    -1.00 |      1.56 |           2.37 |       3.01 |  3.01 |  4.08 |  1.56 |  19.34 |       0 |    105 |   8366 |     1450 |  1.61 |
|         MKW4 |  181.115 |     1.895 |   0.02 |  1.45 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |      109 | J1204.4+0154 |  DR10 |    YES |              -99 |              |         -99 |                   |           -99 |                    |       5 |            MKW4 |           26 |     MKW4 |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.68 |           1.02 |      -1.00 |  1.02 |  4.49 |  1.10 |  43.79 |    3625 |    791 |  75430 |    20977 |  3.65 |
|        A1520 |  184.832 |    -13.26 |  0.068 |  3.51 |       True |        True |       False |      -99 |                    |         -99 |                     |        -99 |                   |      112 | J1219.3-1315 |  DR10 |    YES |             1168 |       119688 |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.87 |           2.83 |       2.44 |  2.44 |  4.13 |  1.46 |  18.03 |       0 |    149 |   1289 |      477 |  1.50 |
|        A3526 |  192.199 |   -41.308 |  0.011 |  2.55 |      False |       False |       False |       42 | PSZ2 G302.41+21.60 |         -99 |                     |        -99 |                   |      116 | J1248.7-4118 |  DR10 |     NO |              -99 |              |          99 | MCXC J1248.7-4118 |           -99 |                    |     -99 |                 |           29 |    A3526 |         -99 |         |         -99 |         |           -99 |           |      1.32 |           1.79 |    -1.00 |    -1.00 |      1.62 |           2.45 |      -1.00 |  1.79 |  4.26 |  1.33 |  95.34 |       0 |   3433 |  19848 |     2255 |  7.95 |
|        A1631 |  193.216 |     -15.4 |  0.047 | -1.00 |       True |        True |        True |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |    YES |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | -1.00 | -1.00 | -1.00 |  -1.00 |       0 |      0 |      0 |        0 | -0.08 |
|        A1644 |  194.295 |     -17.4 |  0.048 |  8.60 |       True |        True |        True |       47 | PSZ2 G304.91+45.43 |         -99 |                     |        -99 |                   |      125 | J1257.1-1724 |  DR10 |    YES |             1241 |       123337 |         -99 |                   |           -99 |                    |      13 |      Abell 1644 |           30 |    A1644 |         -99 |         |          35 |   A1644 |           -99 |           |      3.69 |           4.98 |    -1.00 |    -1.00 |      2.93 |           4.43 |       5.96 |  5.96 |  4.03 |  1.98 |  33.86 |       0 |    405 |   4031 |     1982 |  2.82 |
|        A3565 |  204.019 |   -34.225 |  0.013 | -1.00 |      False |       False |       False |      -99 |                    |         -99 |                     |        -99 |                   |      -99 |              |  DR10 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |     -1.00 |          -1.00 |      -1.00 | -1.00 | -1.00 | -1.00 |  -1.00 |       0 |      0 |      0 |        0 | -0.08 |
|        A3571 |  206.868 |   -32.849 |  0.039 |  9.02 |       True |        True |       False |       51 | PSZ2 G316.31+28.53 |         -99 |                     |        -99 |                   |      146 | J1347.4-3250 |  DR10 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |           38 |    A3571 |         -99 |         |           8 |   A3571 |           -99 |           |      4.63 |           6.24 |    -1.00 |    -1.00 |      4.51 |           6.82 |      -1.00 |  6.24 |  4.03 |  2.01 |  42.01 |       0 |    528 |   5626 |     2930 |  3.50 |
|        A3574 |  207.278 |   -30.326 |  0.016 |  0.64 |      False |       False |       False |      -99 |                    |         -99 |                     |        -99 |                   |      147 | J1349.3-3018 |  DR10 |     NO |              -99 |              |         -99 |                   |           -99 |                    |     -99 |                 |          -99 |          |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      0.30 |           0.46 |      -1.00 |  0.46 |  4.91 |  0.84 |  41.45 |       0 |    477 |   4324 |     1329 |  3.45 |
|        A3581 |  211.867 |   -27.015 |  0.023 |  7.31 |      False |       False |       False |      -99 |                    |         -99 |                     |        -99 |                   |      151 | J1407.4-2700 |  DR10 |     NO |             1423 |       130695 |         -99 |                   |           -99 |                    |     -99 |                 |           40 |    A3581 |         -99 |         |         -99 |         |           -99 |           |     -1.00 |          -1.00 |    -1.00 |    -1.00 |      1.08 |           1.64 |       5.06 |  5.06 |  4.03 |  1.89 |  65.47 |       0 |   1167 |   8200 |     2144 |  5.46 |
