name,ra,dec,z,m200_listed,MergedCats,TargetLists,Jan25upload,coords,PSZ2_idx,PSZ2,ACT-DR5_idx,ACT-DR5,SPT-SZ_idx,SPT-SZ,MCXC_idx,MCXC,DECam,S-PLUS,CODEX_idx,CODEX,CODEX3-LSDR10_idx,CODEX3-LSDR10,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,HIFLUGCS_idx,HIFLUGCS,MENeaCS_idx,MENeaCS,LoVoCCS_idx,LoVoCCS,CLASH-VLT_idx,CLASH-VLT,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_SPT,m500_MCXC,m500_MCXC_corr,m500_CODEX,m500_CODEX3,m500_CODEX3_corr,m500,m200,c200,r200,d200,N_first,N_tgss,N_spec,N_spec_z,5d200(deg)
A3565,204.019,-34.225,0.013,2.1,FALSE,FALSE,FALSE,"204.019,-34.225",-99,,-99,,-99,,-99,,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,2.10,-0.79,1.25,75.75,0,1994,20455,3078,6.31
A3571,206.868,-32.849,0.039,10.1,TRUE,TRUE,FALSE,"206.868,-32.849",51,PSZ2 G316.31+28.53,-99,,-99,,146,J1347.4-3250,DR10,NO,-99,,-99,,-99,,-99,,-99,,38,A3571,-99,,8,A3571,-99,,4.63,6.24,-1.00,-1.00,4.51,6.82,-1.00,-1.00,-1.00,6.24,9.02,4.03,1.31,27.38,0,209,1841,1076,2.28
A3574,207.278,-30.326,0.016,3.1,FALSE,FALSE,FALSE,"207.278,-30.326",-99,,-99,,-99,,147,J1349.3-3018,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,0.30,0.46,-1.00,-1.00,-1.00,0.46,0.64,4.91,0.55,27.38,0,217,1581,596,2.28
A3581,211.867,-27.015,0.023,2.4,FALSE,FALSE,FALSE,"211.867,-27.015",-99,,-99,,-99,,151,J1407.4-2700,DR10,NO,2592,130695,389,93223508,-99,,-99,,-99,,40,A3581,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,1.08,1.64,5.06,2.42,2.57,5.06,7.31,4.03,1.23,42.67,0,459,3665,1097,3.56
A3651,298.068,-55.062,0.06,4.4,TRUE,TRUE,TRUE,"298.068,-55.062",60,PSZ2 G342.82-30.48,-99,,-99,,179,J1952.2-5503,DR10,NO,3242,145370,514,93273308,-99,,-99,,-99,,-99,,-99,,-99,,-99,,3.24,4.38,-1.00,-1.00,1.47,2.23,3.26,3.79,4.02,3.26,4.69,4.07,1.05,14.59,0,0,692,434,1.22
A3667,303.112,-56.816,0.053,10.3,TRUE,TRUE,TRUE,"303.112,-56.816",59,PSZ2 G340.88-33.36,5,ACT-CL J2012.4-5649,29,SPT-CL J2012-5649,183,J2012.5-5649,DR10,NO,-99,,-99,,25,MCXC J2012.5-5649,27,Abell 3667,-99,,55,A3667,-99,,3,A3667,-99,,7.04,9.49,5.67,4.46,5.17,7.82,-1.00,-1.00,-1.00,9.49,13.67,4.08,1.50,23.45,0,0,2310,1142,1.95
A3716,312.875,-52.716,0.045,4.0,TRUE,TRUE,FALSE,"312.875,-52.716",-99,,-99,,-99,,-99,,DR10,NO,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.00,-0.79,1.53,27.91,0,131,2876,1418,2.33
A3809,326.745,-43.883,0.063,4.8,TRUE,TRUE,TRUE,"326.745,-43.883",66,PSZ2 G356.04-49.50,-99,,-99,,202,J2146.9-4354,DR10,YES,3020,140639,464,93254410,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.67,2.25,-1.00,-1.00,1.73,2.61,3.87,3.70,3.92,3.87,5.57,4.05,1.11,14.75,0,37,1756,638,1.23
A4038,356.929,-28.142,0.028,8.8,TRUE,TRUE,FALSE,"356.929,-28.142",1,PSZ2 G025.13-75.88,-99,,-99,,226,J2347.7-2808,DR10,YES,2652,131798,399,93225827,26,MCXC J2347.7-2808,29,Abell 4038,8,Abell 4038,61,A4038,-99,,100,A4038,-99,,1.48,2.00,-1.00,-1.00,2.04,3.09,5.50,4.30,4.56,5.50,7.95,4.03,1.26,36.21,0,459,26467,2648,3.02
A4059,359.25,-34.759,0.048,10.9,TRUE,TRUE,TRUE,"359.25,-34.759",67,PSZ2 G356.25-76.07,7,ACT-CL J2357.0-3445,-99,,227,J2357.0-3445,DR10,YES,2761,134924,422,93235501,-99,,-99,,-99,,62,A4059,-99,,50,A4059,-99,,2.47,3.33,4.26,-1.00,2.67,4.03,8.76,5.58,5.91,8.76,12.62,4.06,1.46,25.10,0,157,10166,1890,2.09
AM2002,42.39,-31.19,0.023,0.7,TRUE,TRUE,FALSE,"42.39,-31.19",-99,,-99,,-99,,29,J0249.6-3111,DR10,YES,2690,132237,403,93230704,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,0.45,0.68,1.82,1.12,1.19,1.82,2.60,4.24,0.88,30.38,0,359,7322,958,2.53
AS560,90.201,-58.587,0.037,1.4,TRUE,TRUE,FALSE,"90.201,-58.587",-99,,4,ACT-CL J0600.7-5836,-99,,72,J0600.8-5835,DR10,NO,3294,144145,524,93271006,74,MCXC J0600.8-5835,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,5.67,-1.00,0.43,0.65,1.51,1.06,1.12,1.51,2.14,4.30,0.82,17.93,0,0,552,182,1.49
Antlia,157.514,-35.323,0.012,1.0,FALSE,FALSE,FALSE,"157.514,-35.323",37,PSZ2 G272.88+19.14,-99,,-99,,-99,,NO,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,0.83,1.11,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.11,1.58,4.46,0.75,48.91,0,834,3834,657,4.08
Fornax,54.616,-35.448,0.005,0.67,TRUE,TRUE,TRUE,"54.616,-35.448",-99,,-99,,-99,,41,J0338.4-3526,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,0.19,0.28,-1.00,-1.00,-1.00,0.28,0.39,5.23,0.47,73.66,0,1695,22789,958,6.14
Hydra,159.174,-27.524,0.012,2.52,TRUE,TRUE,TRUE,"159.174,-27.524",-99,,-99,,-99,,98,J1036.6-2731,DR10,YES,-99,,-99,,-99,,-99,,0,ABELL 1060,24,A1060,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,0.99,1.51,-1.00,-1.00,-1.00,1.51,2.14,4.33,0.82,54.06,0,1166,5383,1025,4.51
IIZw108,318.483,2.565,0.049,4.8,TRUE,TRUE,FALSE,"318.483,2.565",3,PSZ2 G053.55-29.85,-99,,-99,,196,J2113.8+0233,DR10,NO,1417,113042,206,93175729,-99,,-99,,-99,,-99,,-99,,-99,,-99,,1.80,2.42,-1.00,-1.00,1.64,2.48,3.08,3.44,3.65,3.08,4.44,4.09,1.03,17.38,433,121,9083,910,1.45
MKW4,181.115,1.895,0.02,1.6,TRUE,TRUE,FALSE,"181.115,1.895",-99,,-99,,-99,,109,J1204.4+0154,DR10,YES,-99,,-99,,-99,,-99,,5,MKW4,26,MKW4,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,0.68,1.02,-1.00,-1.00,-1.00,1.02,1.45,4.49,0.72,28.74,1627,326,34668,10084,2.40
MKW8,220.176,3.472,0.027,1.7,TRUE,Ture,FALSE,"220.176,3.472",65,PSZ2 G355.50+54.72,-99,,-99,,155,J1440.6+0328,DR10,YES,1351,108093,196,93164001,-99,,-99,,4,MKW8,41,MKW8,-99,,-99,,-99,,1.10,1.49,-1.00,-1.00,0.74,1.11,1.55,1.71,1.82,1.55,2.21,4.30,0.83,24.61,1125,203,23466,5142,2.05
MZ00407,329.633,-28.617,0.022,0.3,TRUE,TRUE,FALSE,"329.633,-28.617",-99,,-99,,-99,,-99,,DR10,YES,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-99,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.30,-0.79,0.65,23.59,0,217,5444,749,1.97
